第4週系統 生 產 計 畫,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
生產日期,投產紀錄,線別,製令單號,品號,品名,完工日,料齊日,工單數量,預計生產,換線,線外,組裝,無塵室製程,燒機,備註,線外工時 ,生產工時(min),
,投過,A,93E125010069,93-F0093-404E,Zoetis Vetscan HUB-EU,2025-02-12 00:00:00,2025-01-10 00:00:00,400,15,,,51.2,,,拆換重工,0,768,93-F0093-40
2025-01-20 00:00:00,投過,A,93E125010069,93-F0093-404E,Zoetis Vetscan HUB-EU,2025-02-12 00:00:00,2025-01-10 00:00:00,400,44,21,11,25.6,,,,484,1126.4,93-F0093-40
2025-01-20 00:00:00,投過,D,93E124120016,IPC-003N7-Q001,RK609W-9E2-E47_IQ001,2025-01-22 00:00:00,2025-01-08 00:00:00,2,2,21,4,54,,,,8,108,IPC-003N7-Q
2025-01-20 00:00:00,,A,93N125010370,93-F0089-2020,EMP-300-CQ (6305E),2025-01-23 00:00:00,2025-01-15 00:00:00,60,60,21,7,21,,,,420,1260,93-F0089-20
2025-01-20 00:00:00,,E,93N125010121,93-P8000-H410,GM-270S/IS,2025-03-13 00:00:00,2025-03-03 00:00:00,100,50,,,38,,,,0,1900,93-P8000-H4
2025-01-20 00:00:00,,A,93N125010202,93-SHT02-A010,Triton S1 HRX,2025-02-04 00:00:00,2025-01-20 00:00:00,25,9,18,0,13.5,,,,0,121.5,93-SHT02-A0
2025-01-20 00:00:00,,E,93E125010322,93-P2100-6B0E,"STC2-156-EHL,J6412,8GB,128G",2025-02-06 00:00:00,2025-01-13 00:00:00,1,1,18,7.5,15,,,,7.5,15,93-P2100-6B
2025-01-20 00:00:00,,A,93E124120136,93-F0013-108E,Redflex Universal HALO PC,2025-02-04 00:00:00,2025-01-17 00:00:00,60,30,21,5,63.8,,,,150,1914,93-F0013-10
2025-01-20 00:00:00,,A,93N125020355,AG-M9019A-CFG001A5,M9019A_A5,2025-02-13 00:00:00,2025-01-17 00:00:00,9,9,27,75,76.3,,,,675,686.6999999999999,AG-M9019A-C
2025-01-20 00:00:00,,A,93E125010070,93-F0093-404E,Zoetis Vetscan HUB-EU,2025-02-24 00:00:00,2025-01-20 00:00:00,22,22,21,11,,,,,242,0,93-F0093-40
2025-01-20 00:00:00,,A,93R125010077,93-41056-001E,ADM-AL30/i9-12900E/RTX 4000 SFF/128G,2025-02-04 00:00:00,2025-01-14 00:00:00,39,39,,,10,,,,0,390,93-41056-00
1/20  (一)   加工4 主線15  (8740)  測試支援2人,,,,,,,,,,168,,,,10444.099999999999,當日總工時,1986.5,8289.599999999999,
,,,,,,,,,,150,,,,8503.599999999999,IPC,1979,6374.5999999999985,
,,,,,,,,,預計生產,18,,,,1940.5,IDS,7.5,1915,
,,,,,,,,,281,,,,,,NOT ENOUGH,,,
生產日期,投產紀錄,線別,製令單號,品號,品名,完工日,料齊日,工單數量,預計生產,,線外,組裝,燒機,實際生產,備註,線外工時 ,生產工時(min),
2025-01-21 00:00:00,,A,,,,,,,,,,,,,,0,0,
2025-01-21 00:00:00,,A,,,,,,,,,,,,,,0,0,
2025-01-21 00:00:00,投過,E,93R125010094,93-P8000-H310,GM-270SG,2025-01-21 00:00:00,,2,2,,,5,,,外箱2入改為1入出貨,0,10,93-P8000-H3
2025-01-21 00:00:00,投過,D,93E125020127,IPC-100N7-U000,RK410W-13E4-E47_IU000,2025-02-06 00:00:00,2025-01-17 00:00:00,2,2,21,4,54,,,,8,108,IPC-100N7-U
2025-01-21 00:00:00,未投過,D,93E124110233,93-DN000-401E,MLB-3100-RPL-i9-13900E/M16GB/1TB,2025-01-24 00:00:00,2025-01-13 00:00:00,2,1,27,7,15,,,1+n,7,15,93-DN000-40
2025-01-21 00:00:00,投過,A,93E125060001,TPC-41041-061S,TPC-41041-061S(MXE-1501),2025-02-06 00:00:00,2025-01-17 00:00:00,15,15,18,0,30,,,,0,450,TPC-41041-0
2025-01-21 00:00:00,,D,93E125010313,T93-13019-0300001,T93-13019-0300001,2025-02-12 00:00:00,2025-01-13 00:00:00,1,1,21,4,54,,,,4,54,T93-13019-0
2025-01-21 00:00:00,投過,E,93N125010135,93-P8000-H510,GM-270SG/IS,2025-03-13 00:00:00,2025-03-05 00:00:00,200,40,27,13.5,34,,,,540,1360,93-P8000-H5
2025-01-21 00:00:00,投過,A,93N125010417,93-F0114-0120,Verint Edge NVR w/o PoE ports,2025-02-04 00:00:00,2025-01-20 00:00:00,190,190,18,0,32.95,,,,0,6260.500000000001,93-F0114-01
2025-01-21 00:00:00,投過,A,93N125010461,AG-M9046-60110,M9046-60110,2025-01-24 00:00:00,2025-01-20 00:00:00,5,5,36,76,88,,,,380,440,AG-M9046-60
2025-01-21 00:00:00,投過,A,93E125020050,AG-M9046-66101,M9046-66101,2025-01-24 00:00:00,2025-01-20 00:00:00,5,5,36,76,88,,,,380,440,AG-M9046-66
2025-01-21 00:00:00,投過,A,93N125010122,93-D1207-1010,WM200/US,2025-02-04 00:00:00,2025-01-15 00:00:00,30,15,24,12,,,,,180,0,93-D1207-10
2025-01-21 00:00:00,,D,93N125010491,93-45R03-1110,"ROScube-X, w/AD-GMSL2, RQX-59G",2025-02-03 00:00:00,2025-01-20 00:00:00,2,2,21,10,15,,,,20,30,93-45R03-11
2025-01-21 00:00:00,未投過,D,93E125010032,93-98002-110E,ADi-SA3X-CL-EABF/AGS,2025-03-26 00:00:00,2025-01-21 00:00:00,20,1,27,,,,,1+N,0,0,93-98002-11
2025-01-21 00:00:00,,E,,,,,,,,,,,,,,0,0,
2025-01-21 00:00:00,,E,,,,,,,,,,,,,,0,0,
