第16週系統 生 產 計 畫,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
生產日期,投產紀錄,線別,製令單號,品號,品名,完工日,料齊日,工單數量,預計生產,換線,線外,組裝,無塵室製程,燒機,備註,線外工時 ,生產工時(min),,,
2025-04-14 00:00:00,投過,A,93R125040036,93-DN000-4010,MLB-3100-RPL-i9-13900E/M16GB/1TB,2025-04-30 00:00:00,00:00:00,2,2,27,15,60,,,,30,120,93-DN000-40,,
2025-04-14 00:00:00,投過,E,93N125040125,93-F0120-0010,GM-070/AGS,2025-04-28 00:00:00,2025-04-07 00:00:00,396,50,,,23,無塵室(TP貼合),196,,0,1150,93-F0120-00,,
2025-04-14 00:00:00,投過,E,93E125040033,93-P5300-B50E,"Titan2-21WP-TGL-i3,8G,128GB,RFID,Downs",2025-04-15 00:00:00,2025-04-09 00:00:00,6,6,,,25,無塵室(TP貼合)+Off LINE(封邊膠)因封邊膠完Silicon需固化24Hr,,,0,150,93-P5300-B5,,
2025-04-14 00:00:00,投過,A,93E125040343,IPC-101N5-T007,RK410CW-13E2-E43_IT007,2025-04-17 00:00:00,2025-04-11 00:00:00,8,8,21,4,54,,,,32,432,IPC-101N5-T,,
2025-04-14 00:00:00,投過,A,93N125040241,93-F0114-0120,Verint Edge NVR w/o PoE ports,2025-04-23 00:00:00,2025-04-16 00:00:00,250,85,18,0,32.95,,,,0,2800.7500000000005,93-F0114-01,,
2025-04-14 00:00:00,投過,A,RMA125040003,AG-M9505-66102,M9505-66102,2025-04-17 00:00:00,,1,1,,,30,,,,,,AG-M9505-66,,
2025-04-14 00:00:00,投過,E,93R125040066,93-P7000-G020,IM-238,2025-05-08 00:00:00,00:00:00,3,3,,,5,,,,,15,93-P7000-G0,,
2025-04-14 00:00:00,投過,A,93E125030178,93-F0067-201E,Seatex ISP2020,2025-04-29 00:00:00,2025-04-10 00:00:00,60,24,,,53,,,,0,1272,93-F0067-20,,
2025-04-14 00:00:00,投過,E,93N125040125,93-F0120-0010,GM-070/AGS,2025-04-28 00:00:00,2025-04-07 00:00:00,396,50,,17,,無塵室(TP貼合),,,850,0,93-F0120-00,,
2025-04-14 00:00:00,投過,A,93N125020361,AG-M9046-60110,M9046-60110,2025-04-28 00:00:00,2025-03-28 00:00:00,30,10,36,76,88,,,,760,880,AG-M9046-60,,
2025-04-14 00:00:00,投過,A,93N125020361,AG-M9046-60110,M9046-60110,2025-04-28 00:00:00,2025-03-28 00:00:00,30,5,,76,,,,,380,0,AG-M9046-60,,
2025-04-14 00:00:00,投過,A,93E125040238,93-DN000-002E,MLB-3100-i5-12500E/M16GB/512G,2025-04-22 00:00:00,2025-04-13 00:00:00,1,1,27,15,60,,,1+N,15,60,93-DN000-00,,
4/14 (一)    加工3 主線12  (6900)   支援DIP 2人,,,,,,,,,,129,,,,9075.75,當日總工時,2067,6879.75,,,
,,,,,,,,,,129,,,,6910.75,IPC,1217,5564.75,,,
,,,,,,,,,預計生產,0,,,,2165,IDS,850,1315,,,
,,,,,,,,,245,,,,,,NOT ENOUGH,,,,,
生產日期,投產紀錄,線別,製令單號,品號,品名,完工日,料齊日,工單數量,預計生產,,線外,組裝,燒機,實際生產,備註,線外工時 ,生產工時(min),,,
2025-04-15 00:00:00,,A,,,,,,,,,,,,,,0,0,,,
2025-04-15 00:00:00,,A,,,,,,,,,,,,,,0,0,,,
2025-04-15 00:00:00,投過,A,93E125040095,93-41056-002E,ADM-AL30/i9-12900E/RTX 4000 SFF/128G,2025-04-17 00:00:00,2025-04-14 00:00:00,10,10,27,18.5,30,,,,185,300,93-41056-00,,
2025-04-15 00:00:00,投過,A,93E124120426,93-41056-002E,ADM-AL30/i9-12900E/RTX 4000 SFF/128G,2025-04-21 00:00:00,2025-04-14 00:00:00,2,2,27,18.5,30,,,,37,60,93-41056-00,,
2025-04-15 00:00:00,投過,A,93E124120436,93-41057-002E,MXC-3301/M8G,2025-04-18 00:00:00,2025-04-08 00:00:00,15,15,21,5,14.8,,,,75,222,93-41057-00,,
2025-04-15 00:00:00,投過,A,93E125020295,93-D2302-A01E,MLC-M700,2025-05-13 00:00:00,2025-04-14 00:00:00,20,11,18,15,40,,,缺34-51129-0010-A0 9pcs,165,440,93-D2302-A0,,
