第23週系統 生 產 計 畫,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
生產日期,投產紀錄,線別,製令單號,品號,品名,完工日,料齊日,工單數量,預計生產,換線,線外,組裝,無塵室製程,燒機,備註,線外工時 ,生產工時(min),,
,1,E,93E125030373,93-P6000-B50E,CTM-22W-M-PM,2025-06-12 00:00:00,2025-05-27 00:00:00,1,1,18,,,無生產紀錄++,,1+N,0,0,93-P6000-B5,
,2,E,93E125030375,93-P6000-830E,CTM-18W-M-PM,2025-06-13 00:00:00,2025-05-27 00:00:00,1,1,18,,,無生產紀錄++,,1+N,0,0,93-P6000-83,
,3,E,93E125030376,93-P6000-G20E,CTM-24W-M-PM,2025-06-16 00:00:00,2025-05-27 00:00:00,1,1,18,,,無生產紀錄++,,1+N,0,0,93-P6000-G2,
,4,E,93E125030374,93-P6000-H10E,CTM-27W-M-PM,2025-06-17 00:00:00,2025-05-27 00:00:00,1,1,18,,,無生產紀錄++,,1+N,0,0,93-P6000-H1,
2025-06-02 00:00:00,,A,93E125060291,93-41052-7E0E,MVP-5205E-2x512GB-EVERI-160W,2025-06-12 00:00:00,2025-06-01 00:00:00,17,1,21,5,26,,,1+N,5,26,93-41052-7E,
2025-06-02 00:00:00,投過,A,93E125060291,93-41052-7E0E,MVP-5205E-2x512GB-EVERI-160W,2025-06-12 00:00:00,2025-06-01 00:00:00,17,16,,5,,,,1+N,80,0,93-41052-7E,
2025-06-02 00:00:00,投過,E,93E125050061,93-P5300-600E,"Titan2-15WP-TGL-i5,8G,128GB,CT",2025-09-25 00:00:00,2025-07-04 00:00:00,5,1,18,29,14.5,高亮+TP-封邊/固化-ASSY,,,29,14.5,93-P5300-60,
2025-06-02 00:00:00,投過,A,93E125060038,93-SHT01-011E,Triton S1 TCP,2025-06-12 00:00:00,2025-05-29 00:00:00,45,25,,0,42,,,,0,1050,93-SHT01-01,
2025-06-02 00:00:00,投過,A,93N125030358,AG-M9046-60110,M9046-60110,2025-06-27 00:00:00,2025-05-14 00:00:00,10,5,36,76,,,,,380,0,AG-M9046-60,
2025-06-02 00:00:00,投過,A,93N125040572,AG-M9046-60110,M9046-60110,2025-06-12 00:00:00,2025-05-14 00:00:00,10,10,36,76,,,,,760,0,AG-M9046-60,
2025-06-02 00:00:00,投過,A,93N125050055,93-D1207-0050,WM200,2025-06-20 00:00:00,2025-05-15 00:00:00,384,96,,12,36,,,,1152,3456,93-D1207-00,
2025-06-02 00:00:00,投過,A,93E125040379,93-F0019-100C,Redflex NK7 Halo Computer 12MP 95%,2025-06-06 00:00:00,2025-05-30 00:00:00,1,1,27,75.9,126,,,,75.9,126,93-F0019-10,
6/2  (一) 加工4 主線13.5  (11200)   2025/06/02 (一)進行消防演練進行30min演練,,,,,,,,,,210,,,,7364.4,當日總工時,2481.9,4672.5,,10240
,,,,,,,,,,120,,,,7230.9,IPC,2452.9,4658,,
