第26週系統 生 產 計 畫,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
生產日期,投產紀錄,線別,製令單號,品號,品名,完工日,料齊日,工單數量,預計生產,換線,線外,組裝,無塵室製程,燒機,備註,線外工時 ,生產工時(min),,CE認證
2025-06-23 00:00:00,投過,A,93E125050379,93-41052-2B2E-10,MVP-5209/M64G/MS1T/2S2T/Win11P/230W/HAL,2025-06-27 00:00:00,2025-06-20 00:00:00,43,13,21,6.7,29,,,,87.10000000000001,377,93-41052-2B,CE
2025-06-23 00:00:00,投過,A,93N125060181,93-F0064-015C,"R4600-2A3,CC",2025-06-26 00:00:00,2025-06-20 00:00:00,8,8,27,28,65,,,85-65624-008C缺料 6/21→6/23,224,520,93-F0064-01,CE
2025-06-23 00:00:00,投過,A,93N125050441,93-70431-A020,PXES-2785,2025-06-25 00:00:00,2025-06-13 00:00:00,15,2,,,60,,,優先生產,0,120,93-70431-A0,CE
2025-06-23 00:00:00,投過,A,93N125020449,93-99738-0080,DAFC TS,2025-06-27 00:00:00,2025-06-19 00:00:00,1,1,18,0,75,,,85-66002-1080*1不良,0,75,93-99738-00,
2025-06-23 00:00:00,4,A,93R125040059,93-F0091-004E,Capsule Axon 2 – 1-port,2025-07-09 00:00:00,2025-06-13 00:00:00,196,196,,,5,,,,,980,93-F0091-00,
,3,A,93E125020047,93-F0091-104E,Capsule Axon 2 – 4-port,2025-07-28 00:00:00,2025-07-07 00:00:00,900,228,,,3,,,已測WIP,,684,93-F0091-10,
2025-06-23 00:00:00,投過,A,93N125030501,93-70431-9050,P1831,2025-06-27 00:00:00,2025-06-12 00:00:00,32,5,,,60,,,,0,300,93-70431-90,
2025-06-23 00:00:00,投過,A,93N125050479,93-41040-0270-10,MXE-211/M8G,2025-06-27 00:00:00,2025-06-20 00:00:00,16,16,21,5,25,,,,80,400,93-41040-02,
2025-06-23 00:00:00,投過,A,93E125060316,93-41053-0A1E-10,MVP-6229RF/M128G/MS2T/S4T/W11P/230W/HAL,2025-06-27 00:00:00,2025-06-20 00:00:00,6,6,24,8,36,,,,48,216,93-41053-0A,CE
2025-06-23 00:00:00,投過,A,93N125060236,AG-M9010A-CFG001,M9010A,2025-07-07 00:00:00,2025-05-29 00:00:00,15,1,27,75,80,,,一台給Hank驗證,75,80,AG-M9010A-C,CE
2025-06-23 00:00:00,投過,A,93N125080112,93-70432-0010,PXES-2314T,2025-06-30 00:00:00,2025-06-18 00:00:00,10,10,18,0,30,,,,0,300,93-70432-00,CE
2025-06-23 00:00:00,投過,E,93E125060073,93-P1500-230E,"SP2-10WP-IMX8-8GB,32GB,12V,rear cover",2025-06-26 00:00:00,2025-06-20 00:00:00,25,25,27,7,18,線外+組裝++,,,175,450,93-P1500-23,
2025-06-23 00:00:00,投過,A,93R125060082,93-22807-090E,MECS-6120 Icelake D-1747NTE cfg9,,00:00:00,1,1,,,30,,,,0,30,93-22807-09,
2025-06-23 00:00:00,投過,A,93E125050400,IPC-0030S-0001,RK609W-M47_I0001,2025-06-27 00:00:00,2025-06-20 00:00:00,2,2,21,4,54,,,,8,108,IPC-0030S-0,
2025-06-23 00:00:00,投過,A,93E125070220,IPC-0030S-0001,RK609W-M47_I0001,2025-06-27 00:00:00,2025-06-20 00:00:00,1,1,21,4,54,,,,4,54,IPC-0030S-0,
2025-06-23 00:00:00,投過,A,93E125060133,93-F0093-107E,Zoetis Vetscan HUB-AUS,2025-07-09 00:00:00,2025-06-20 00:00:00,240,50,21,11,,,,,550,0,93-F0093-10,CE
2025-06-23 00:00:00,投過,A,93N125060340,93-41050-A250,Dell Embedded Gateway EGW-3200-0KR44F,2025-07-02 00:00:00,2025-06-20 00:00:00,205,90,18,0,39.1,,,,0,3519,93-41050-A2,CE
2025-06-23 00:00:00,投過,A,93N125070095,93-70431-9050,P1831,2025-06-30 00:00:00,2025-06-17 00:00:00,5,5,21,14,,,,,70,0,93-70431-90,
2025-06-23 00:00:00,投過,A,93E125050368,IPC-003N5-R001,RK609W-9E5-E43_IR001,2025-06-26 00:00:00,2025-06-18 00:00:00,8,8,21,4,54,,,,32,432,IPC-003N5-R,CE
6/23  (一) 加工4 主線13  (7820)  測試支援2人,,,,,,,,,,327,,,,10383.1,當日總工時,1357.1,8699,,
,,,,,,,,,,300,,,,9731.1,IPC,1182.1,8249,,
,,,,,,,,,預計生產,27,,,,652,IDS,175,450,,
,,,,,,,,,668,,,,,,NOT ENOUGH,,,,
生產日期,投產紀錄,線別,製令單號,品號,品名,完工日,料齊日,工單數量,預計生產,,線外,組裝,燒機,實際生產,備註,線外工時 ,生產工時(min),,
2025-06-24 00:00:00,投過,A,93N125060032,AG-M9019A-CFG001A5,M9019A_A5,2025-07-22 00:00:00,2025-06-16 00:00:00,50,5,,75,76.3,,,,375,381.5,AG-M9019A-C,CE
2025-06-24 00:00:00,投過,A,RMA125060012,AG-M9010A-CFG001,M9010A,2025-06-30 00:00:00,,1,1,,,30,,,,0,30,AG-M9010A-C,CE
2025-06-24 00:00:00,投過,A,RMA125060019,AG-M9019-66101,M9019-66101,2025-06-27 00:00:00,,1,1,,,30,,,,0,30,AG-M9019-66,CE
2025-06-24 00:00:00,投過,A,93N125030501,93-70431-9050,P1831,2025-06-27 00:00:00,2025-06-12 00:00:00,32,27,,,60,,,,0,1620,93-70431-90,
2025-06-24 00:00:00,投過,A,93N125070095,93-70431-9050,P1831,2025-06-30 00:00:00,2025-06-17 00:00:00,5,5,,,60,,,,0,300,93-70431-90,
2025-06-24 00:00:00,投過,A,93N125060340,93-41050-A250,Dell Embedded Gateway EGW-3200-0KR44F,2025-07-02 00:00:00,2025-06-20 00:00:00,205,15,,0,39.1,,,,0,586.5,93-41050-A2,CE
