Save,Message,Type,User Status,銷售文件類型,訂單,物料,物料說明,項目數量,收貨數量,基本開始日期,基本完成日期,上線日,系統料齊日,料齊日(生管),TEST上線日,逾期代碼,逾期說明,工單備註
Save,,MO,ZCHG,93E1,93E125020047,93-F0091-104E,Capsule Axon 2 – 4-port,900,879,2025-03-21 00:00:00,2025-07-28 00:00:00,2025-03-21 00:00:00,2025-07-07 00:00:00,2025-07-07 00:00:00,,5.工程變更,改FW客戶確認程式影響生產,6/18，59-66942-0010
,,MO,ZRTC,93R1,93R123120095,93-F0091-103E,Capsule Axon 2 – 4-port,541,541,2023-12-25 00:00:00,2024-02-05 00:00:00,2023-12-25 00:00:00,,,,,,DEV-0049293，異常-重工
,,MO,ZRTC,93R1,93R124060129,93-F0091-103E,Capsule Axon 2 – 4-port,541,541,2024-06-21 00:00:00,2024-07-12 00:00:00,2024-06-21 00:00:00,2024-06-27 00:00:00,,,9.其它,,(1)DEV-0051003，DEV-0051243 庫存
,,MO,ZRTC,93E1,93E124100006,93-F0091-103E,Capsule Axon 2 – 4-port,540,540,2024-10-04 00:00:00,2024-10-11 00:00:00,2024-10-04 00:00:00,2024-10-05 00:00:00,2024-09-18 00:00:00,,7.產能因子,station2異常Hold,DEV-0051863，10/11，59-66942-0010
,,MO,ZRTC,93E1,93E124090007,93-F0091-103E,Capsule Axon 2 – 4-port,540,540,2024-09-09 00:00:00,2024-09-20 00:00:00,2024-09-09 00:00:00,2024-09-16 00:00:00,2024-09-04 00:00:00,,6.客需變更,改測試SOP+換包材,DEV-0051749，9/11，59-66942-0010
,,MO,ZRTC,93E1,93E124080008,93-F0091-103E,Capsule Axon 2 – 4-port,540,540,2024-08-12 00:00:00,2024-08-21 00:00:00,2024-08-12 00:00:00,2024-08-13 00:00:00,2024-08-07 00:00:00,,6.客需變更,客人改測試SOP:MCN-002725,DEV-0051709，8/13，59-66942-0010
,,MO,ZRTC,93E1,93E124070004,93-F0091-103E,Capsule Axon 2 – 4-port,540,540,2024-06-27 00:00:00,2024-08-26 00:00:00,2024-06-27 00:00:00,,2024-06-11 00:00:00,,5.工程變更,DEV-0051287，DEV-0051003 WIFI異常122台(7/8->8/26),DEV-0051287，DEV-0051003
,,MO,ZRTC,93E1,93E124110188,93-F0091-104E,Capsule Axon 2 – 4-port,540,540,2024-10-28 00:00:00,2024-11-07 00:00:00,2024-10-28 00:00:00,2024-10-29 00:00:00,2024-10-24 00:00:00,,,,11/13，59-66942-0010
,,MO,ZRTC,93E1,93E125010048,93-F0091-104E,Capsule Axon 2 – 4-port,540,540,2024-12-02 00:00:00,2024-12-31 00:00:00,2024-12-02 00:00:00,2024-12-18 00:00:00,2024-11-28 00:00:00,,7.產能因子,先趕急件,1/8，59-66942-0010
Save,,MO,ZCHG,93E1,93E125040191,93-F0091-204E,Capsule Axon 2 – 4-port wired,540,501,2025-07-04 00:00:00,2025-07-29 00:00:00,2025-07-04 00:00:00,2025-07-18 00:00:00,2025-06-26 00:00:00,,4.製程銜接,3/24-3/27暫停測試,已發料，6/18+7/16*180+8/18*30，已發料，，59-66942-2010
,,MO,ZRTC,93E1,93E125010069,93-F0093-404E,Zoetis Vetscan HUB-EU,400,400,2025-02-04 00:00:00,2025-02-12 00:00:00,2025-02-04 00:00:00,2025-02-11 00:00:00,2025-01-10 00:00:00,,3.材料跳票,29-92116-2010(LT:20250221)M 缺37-90009-0000-A0*1,DEV-0053326，12/31，85-A1021-0510，系*48/天
,,MO,ZRTC,93E1,93E125010053,93-F0116-100E,GM-270SG/KGI,400,400,2025-02-10 00:00:00,2025-02-19 00:00:00,2025-02-10 00:00:00,2025-02-17 00:00:00,2025-01-21 00:00:00,,7.產能因子,人員臨時請假,1/16(10/17入)，55-A9000-0210+59-7B501-0040
,,MO,ZRTC,93N1,93N125040125,93-F0120-0010,GM-070/AGS,396,396,2025-04-11 00:00:00,2025-04-28 00:00:00,2025-04-11 00:00:00,2025-04-18 00:00:00,2025-04-07 00:00:00,,,,4/29
,,MO,ZRTC,93N1,93N125050055,93-D1207-0050,WM200,384,384,2025-06-10 00:00:00,2025-06-20 00:00:00,2025-06-10 00:00:00,2025-06-17 00:00:00,2025-05-15 00:00:00,,6.客需變更,FD5/29->6/20,5/29->6/20
,,MO,ZRTC,93R1,93R125040140,93-F0114-0120,Verint Edge NVR w/o PoE ports,322,322,2025-04-26 00:00:00,2025-04-29 00:00:00,2025-04-26 00:00:00,,,,,,
,,MO,ZRTC,93E1,93E125030032,93-F0092-004E,Capsule Axon 2 – 8-port,320,320,2025-06-19 00:00:00,2025-07-03 00:00:00,2025-03-18 00:00:00,2025-06-27 00:00:00,2025-03-10 00:00:00,,5.工程變更,客戶確認程式影響生產,"DEV-0054665,6/18，59-66876-0010+59-66942-0010"
,,MO,ZRTC,93R1,93R121110219,93-D1207-1010,WM200/US,310,310,2021-11-29 00:00:00,2021-12-22 00:00:00,2021-12-15 00:00:00,2021-12-13 00:00:00,,,,,(1)MCN-001687
,,MO,ZRTC,93N1,93N124100636,93-F0114-0120,Verint Edge NVR w/o PoE ports,308,308,2025-04-23 00:00:00,2025-05-14 00:00:00,2025-04-23 00:00:00,2025-05-06 00:00:00,,,3.材料跳票,32-00200-3000-A0陸廠缺工delay | 4/16>5/14 5C-56002-0020,
,,MO,ZRTC,93E1,93E125120001,93-F0116-100E,GM-270SG/KGI,305,305,2025-01-06 00:00:00,2025-01-13 00:00:00,2025-01-06 00:00:00,2025-01-10 00:00:00,2024-12-24 00:00:00,,,,12/18(10/17入)，55-A9000-0210+59-7B501-0040
