品號,製程,Cahmber No.,品名
AG-M9502,4H,Chamber 6,aTCA-F2AX POWER SUPPLY UNIT
AG-M9505,4H,Chamber 6,aTCA-F5AX POWER SUPPLY UNIT
AG-M9018,1.5H,Chamber 3 4,M9018-66201
AG-M9010,1.5H,Chamber 3 4,M9010A
AG-M9019,1.5H,Chamber 3 4,M9019A
AG-M9043,1.5H,Chamber 5,M9043-60210
AG-M9046,,Chamber 3 4,M9046-60110
93-43100,4H,Chamber 5,MilSystem
93-43011,4H,Chamber 5,MilSystem
CPC-0000,4H,Chamber 6,cPCIS-2629CS/C3CSTL2/N422
93-99738,12H,Chamber 5,DAFC SS
93-99717,4H,Chamber 5,Helium
93-42202,4H,Chamber 5,RB1
93-99732,12H,Chamber 5,FG-3950B  
93-99759,4H,Chamber 5,Power Grade
93-99788,24H,Chamber 5,LMS-
93-99780,4H,Chamber 5,ADi-SA2X-CF-BAES/Pervasive
93-99769,12H,Chamber 5,Belfort 
93-99768,12H,Chamber 5,Belfort 
93-D0501,4H,Chamber 5,IMT-BT-FOR IM-R3
93-70428,1H,Chamber 5,PXES-2590
93-F0012,4H,Chamber 5,"ABB NZ 10.1"" Touch Panel PC"
93-C1301,4H,Chamber 5,HAM-AETO
93-99797,12.5H,Chamber 1 2,FORTIGATE-3960E
93-99797,12.5H,Chamber 1 2,FORTIGATE-3960E
93-F0030,12.5H,Chamber 1 2,FG-6500F-GEN2_consign_apacer
93-F0030,12.5H,Chamber 1 2,FG-6500F-GEN2_consign_apacer
93-F0011,,Chamber 1 2,FG-7060E
93-F0023,4H,Chamber 5,STR-TSPI7-070D
93-F0083,9H,Chamber 5,MMI-CP-100
AG-N5511,1.5H,Chamber 3 4,N5511-60110
93-P5300,,Chamber 5,"Titan2-24WPH-TGL-i5,8G,128GB,VESA,CT"
93-P6000,,Chamber 5,OM-215
93-F0116-00,TP-ASSY,TP-ASSY,
93-F0116-10,TP-ASSY,TP-ASSY,
93-P7000-B3,TP-ASSY,TP-ASSY,
93-P5300-60,高亮+TP-封邊/固化-ASSY,高亮+TP-封邊/固化-ASSY,
93-P5300-B0,高亮+TP-封邊/固化-ASSY,高亮+TP-封邊/固化-ASSY,
93-P5300-B1,高亮+TP-封邊/固化-ASSY,高亮+TP-封邊/固化-ASSY,
93-P5300-G1,高亮+TP-封邊/固化-ASSY,高亮+TP-封邊/固化-ASSY,
93-F0120-00,無塵室(TP貼合),無塵室(TP貼合),GM-070/AGS
93-P5300-B4,無塵室(TP貼合),無塵室(TP貼合),"Titan2-21WPH-TGL-i3,8G,128GB,CT"
