物料,Unnamed: 1,Unnamed: 2
93-F0067-202E,93-F0067-20,CE
93-F0067-202E,93-F0067-20,CE
SRP-04001-0040,SRP-04001-0,CE
93-80212-601E,93-80212-60,CE
93-80231-341E,93-80231-34,CE
93-41058-310C,93-41058-31,CE
93-43401-181E,93-43401-18,CE
SRP-04001-0040,SRP-04001-0,CE
93-F0114-0130,93-F0114-01,CE
93-F0114-0030,93-F0114-00,CE
93-F0064-015C,93-F0064-01,CE
IPC-101N5-T006,IPC-101N5-T,CE
TPC-41055-0000,TPC-41055-0,CE
TPC-41044-0540,TPC-41044-0,CE
IPC-100N7-T000,IPC-100N7-T,CE
TPC-41052-0130,TPC-41052-0,CE
IPC-100N5-U022,IPC-100N5-U,CE
IPC-117N7-U004,IPC-117N7-U,CE
TPC-41045-0460,TPC-41045-0,CE
IPC-117N7-U006,IPC-117N7-U,CE
IPC-0030T-0003,IPC-0030T-0,CE
IPC-003N5-R001,IPC-003N5-R,CE
93-41055-0420,93-41055-04,CE
IPC-117N7-U004,IPC-117N7-U,CE
IPC-117N7-U004,IPC-117N7-U,CE
IPC-101N7-U000,IPC-101N7-U,CE
93-41052-2B2E-10,93-41052-2B,CE
93-41052-2B2E-10,93-41052-2B,CE
93-41052-2B2E-10,93-41052-2B,CE
93-41053-0A1E-10,93-41053-0A,CE
93-41053-0A1E-10,93-41053-0A,CE
IPC-003N5-R001,IPC-003N5-R,CE
IPC-1170L-0024,IPC-1170L-0,CE
TPC-41041-061S,TPC-41041-0,CE
TPC-41045-0420,TPC-41045-0,CE
93-45108-2A0E,93-45108-2A,CE
IPC-100N6-T026,IPC-100N6-T,CE
IPC-101N5-T007,IPC-101N5-T,CE
IPC-101N5-T008,IPC-101N5-T,CE
93-41052-7E0E,93-41052-7E,CE
IPC-117N7-U004,IPC-117N7-U,CE
93-41045-E840,93-41045-E8,CE
IPC-117N5-U018,IPC-117N5-U,CE
93-45108-2A0E,93-45108-2A,CE
93-41045-E550,93-41045-E5,CE
93-41045-E550,93-41045-E5,CE
93-41045-E840,93-41045-E8,CE
93-41050-A250,93-41050-A2,CE
93-41052-7A30,93-41052-7A,CE
93-45103-0320,93-45103-03,CE
93-41050-A250,93-41050-A2,CE
93-41045-E550,93-41045-E5,CE
9B-D2101-0090,9B-D2101-00,CE
93-P1500-221E,93-P1500-22,CE
93-P1600-B00E,93-P1600-B0,CE
93-SHT01-102E,93-SHT01-10,CE
93-D2103-110E,93-D2103-11,CE
93-98002-111E,93-98002-11,CE
93-98002-111E,93-98002-11,CE
93-98002-111E,93-98002-11,CE
93-98002-111E,93-98002-11,CE
93-98002-111E,93-98002-11,CE
93-DN000-D10E,93-DN000-D1,CE
93-SHT01-102E,93-SHT01-10,CE
93-D1300-113E,93-D1300-11,CE
93-DN000-D10E,93-DN000-D1,CE
93-F0093-107E,93-F0093-10,CE
93-D2302-230E,93-D2302-23,CE
93-D2302-240E,93-D2302-24,CE
93-F0093-107E,93-F0093-10,CE
93-D2102-020E,93-D2102-02,CE
93-P1400-220E,93-P1400-22,CE
93-D2302-130E,93-D2302-13,CE
93-P6000-D010,93-P6000-D0,CE
93-P6000-6010,93-P6000-60,CE
93-F0093-0030,93-F0093-00,CE
93-F0089-2020,93-F0089-20,CE
93-SH201-1020,93-SH201-10,CE
93-F0089-2020,93-F0089-20,CE
93-F0089-2020,93-F0089-20,CE
93-F0120-0020,93-F0120-00,CE
AG-M9019-60130,AG-M9019-60,CE
93-70431-A020,93-70431-A0,CE
93-41042-0070,93-41042-00,CE
AG-M9046-60110,AG-M9046-60,CE
AG-M9019A-CFG001A5,AG-M9019A-C,CE
93-70431-A020,93-70431-A0,CE
93-70431-A020,93-70431-A0,CE
AG-M9019A-CFG001A5,AG-M9019A-C,CE
AG-M9019A-CFG001A5,AG-M9019A-C,CE
AG-M9010A-CFG001,AG-M9010A-C,CE
AG-M9019-60130,AG-M9019-60,CE
AG-M9019-66101,AG-M9019-66,CE
93-70423-5040,93-70423-50,CE
93-70432-0110,93-70432-01,CE
AG-N5511-60110,AG-N5511-60,CE
93-70432-0010,93-70432-00,CE
93-F0083-0020,93-F0083-00,CE
93-F0083-0020,93-F0083-00,CE
AG-M9505A-CFG002,AG-M9505A-C,CE
(93-41052-7A30,(93-41052-7,CE
