料號,第一天,第二天,第三天,Unnamed: 4
93-F0116-00,(線外)無塵室貼合,組裝,,(線外)無塵室貼合+組裝+
93-F0116-10,(線外)無塵室貼合,組裝,,(線外)無塵室貼合+組裝+
93-F0120-00,(線外)無塵室貼合,組裝,,(線外)無塵室貼合+組裝+
93-P1100-2C,線外+組裝,,,線外+組裝++
93-P1400-20,線外+組裝,,,線外+組裝++
93-P1400-60,線外+組裝,,,線外+組裝++
93-P1500-00,線外+組裝,,,線外+組裝++
93-P1500-01,線外+組裝,,,線外+組裝++
93-P1500-02,無生產紀錄,,,無生產紀錄++
93-P1500-21,線外+組裝,,,線外+組裝++
93-P1501-00,線外+組裝,,,線外+組裝++
93-P2100-6A,線外+組裝,,,線外+組裝++
93-P2100-6B,線外+組裝,,,線外+組裝++
93-P2100-BA,無生產紀錄,,,無生產紀錄++
93-P2200-6E,線外+組裝,,,線外+組裝++
93-P2200-BE,無生產紀錄,,,無生產紀錄++
93-P5300-60,(線外)無塵室貼合+貼框,(線外) 靜置24小時,組裝,(線外)無塵室貼合+貼框+(線外) 靜置24小時+組裝
93-P5300-B1,(線外)無塵室貼合+貼框,(線外) 靜置24小時,組裝,(線外)無塵室貼合+貼框+(線外) 靜置24小時+組裝
93-P5300-B5,(線外)無塵室貼合+貼框,(線外) 靜置24小時,組裝,(線外)無塵室貼合+貼框+(線外) 靜置24小時+組裝
93-P6000-23,無生產紀錄,,,無生產紀錄++
93-P6000-50,線外+組裝,,,線外+組裝++
93-P6000-60,線外+組裝,,,線外+組裝++
93-P6000-64,無生產紀錄,,,無生產紀錄++
93-P6000-82,線外+組裝,,,線外+組裝++
93-P6000-83,無生產紀錄,,,無生產紀錄++
93-P6000-B0,線外+組裝,,,線外+組裝++
93-P6000-B3,線外+組裝,,,線外+組裝++
93-P6000-B5,無生產紀錄,,,無生產紀錄++
93-P6000-E0,線外+組裝,,,線外+組裝++
93-P6000-F0,線外+組裝,,,線外+組裝++
93-P6000-G2,無生產紀錄,,,無生產紀錄++
93-P6000-H0,線外+組裝,,,線外+組裝++
93-P6000-H1,無生產紀錄,,,無生產紀錄++
93-P7000-B3,(線外)無塵室改高亮+貼合,組裝,,(線外)無塵室改高亮+貼合+組裝+
93-P7000-B6,線外+組裝,,,線外+組裝++
93-P7000-G0,線外+組裝,,,線外+組裝++
93-P7000-H0,線外+組裝,,,線外+組裝++
93-P7000-H0,線外+組裝,,,線外+組裝++
93-P8000-H4,(線外)無塵室貼合,組裝,,(線外)無塵室貼合+組裝+
93-P8000-H5,(線外)無塵室貼合,組裝,,(線外)無塵室貼合+組裝+
