Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,修改,First,線別,VIP,製令單號,品名,品號,版次,預計完工日,料齊日,實際生產,MO數量,反面,正面,SMT C.T(sec.),生產工時(min),換線工時(min),總工時(min),上線日,Unnamed: 24,上線時間,結束時間,備註,連板,Initail,Unnamed: 30,重要工單,特採單號
,,,,,,,,,設備異常,,,,,,,,,,,,,200,,,,,,,,,,
,,,,,,,B,,55E124120402,Aristocrat Gen10 Backplane,55-79030-004E,A3,2/5,1/17,300,,0,18,18,90,40,130,2025-02-03 00:00:00,,,,Kim,1,2024-12-23 00:00:00,,,
,,,,,12/16,,B,,55N125010115,Siemens ImagSys-Power button Board,55-A2058-0010,A1,2/4,12/24,140,,1.58,1.43,3.01,7.0233333333333325,60,85,2025-02-03 00:00:00,,,,,28,2024-12-10 00:00:00,,重要工單,
,,,,,1/7,,B,,59N125010255,DLAP-211 CB NX/Nano with AFM,59-77B05-1030,A2,2/5,1/16,30,,30,35,65,32.5,60,92.5,2025-02-03 00:00:00,,,,,2,2024-12-12 00:00:00,,,
,,,,,,,B,,59N125020077,DLAP-411 CB for NVIDIA Jetson AGX Orin,59-77B07-1020,A1,2/6,1/24,14,,38,62,100,23.333333333333332,60,85,2025-02-03 00:00:00,,,,,1,2024-12-31 00:00:00,,重要工單,
,,,,,1/21,,B,,55N125020136,AmITX-KB-G-Q170/ITS i5,55-7A104-2160,A3,2/4,1/24,150,,65.93,58.59,124.52000000000001,311.3,40,351.3,2025-02-03 00:00:00,,,,,1,2024-12-20 00:00:00,,重要工單,
,,,,,1/20,,B,,59N125020145,"SP2-IMX8-Q, 8GB, 32GB, 12V, Audio, CT",59-A1033-1210,A2,2/5,1/22,20,,26,38,64,21.333333333333332,60,85,2025-02-03 00:00:00,,,,,2,2024-12-26 00:00:00,,重要工單,
,,,,,1/20,,B,,59N125020100,Popeye 24V PB-TDK/T,59-63537-1010,A2,2/5,1/24,6,,20,35,55,5.5,60,85,2025-02-03 00:00:00,,,,,2,2024-12-17 00:00:00,,重要工單,
,,,,,1/21,,B,,55E125020062,ADi-BSB1/Everi,55-7B501-020E,A1,2/5,1/21,400,,12,28,40,266.6666666666667,40,306.6666666666667,2025-02-03 00:00:00,,,,Maggie,2,2024-12-26 00:00:00,,重要工單,
,,,,,,,,,,,,,,,,,,,,,,1420.4666666666667,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,A,,夜班支援DIP,,,,,,,,,,,,,720,,,,,,,,,,
,,,,,,●,A,,55E124070102,PCIe Gen5 x16 host,55-96272-000E,A1,2/14,1/24,10,,15,15,30,5,90,140,2025-02-03 00:00:00,,,,Emma(32-20445-0000-A0廠商重工攻牙),2,2024-12-17 00:00:00,,,DEV-0052932
,,,,,1/10,,A,,55E125020044,Express-CF-i7-8850H/mDP/ETC,55-72601-010E,A1,2/4,1/24,84,,45,38,83,116.2,40,156.2,2025-02-03 00:00:00,,,,Clare(有DIP件，2/5上午作業),2,2025-01-06 00:00:00,,,
,,,,,1/23,,A,,59N124120442,"AMSTX-CFP12-Q370, TPM/L-in/L-out/Mic-in",59-7A106-2510,A4,2/6,1/22,5,,73,65,138,11.5,60,85,2025-02-03 00:00:00,,,,,1,2024-12-31 00:00:00,,,
,,,,,1/23,,A,,59N125020163,UNP DB-CFast,59-37572-0010,A3,2/6,1/23,20,,0,10,10,3.3333333333333335,60,85,2025-02-03 00:00:00,,,,,4,2024-12-17 00:00:00,,重要工單,
,,,,,1/14,,A,,59N125020122,Express-KLE-E3-1505L v6,59-72130-6090,B2,2/6,1/22,54,,71.5,32.15,103.65,93.28500000000001,60,153.28500000000003,2025-02-03 00:00:00,,,,純SMT(2/4上午接測),2,2024-12-30 00:00:00,,,
,,,,,,,A,,55N125010290,SEMI-MF AG-M9537A,55-65506-0080,A3,2/4,1/24,5,,57.52,87.5,145.02,12.085,60,85,2025-02-03 00:00:00,,,,,1,2024-12-24 00:00:00,,重要工單,
,,,,,,,,,,,,,,,,,,,,,,1424.4850000000001,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,E,,前置FAI,,,,,,,,,,,,,0,,,,,,,,,,
,,,,,,,E,,55E124120396,Aristocrat Gen10 Carrier,55-77522-002E,A2,2/7,1/22,150,,27.5,38.8,66.3,165.75,0,165.75,2025-02-03 00:00:00,255,,,Kim,1,2024-12-10 00:00:00,,重要工單,
,,,,,,,E,,前置FAI,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,E,,59N125020045,Express-CF-i3-8100H/ARIS,59-72131-2470,A2,2/11,1/22,220,770,45,30,75,275,0,275,2025-02-03 00:00:00,392.8571428571429,,,純SMT(2/4上午接測),2,2024-12-10 00:00:00,,重要工單,
,,,,,,,,2/3,,,,,,,,,,,Total,,,440.75,647.8571428571429,,,,,,,,,
