Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,2024-11-18 00:00:00,Monday,Unnamed: 21,2024-11-19 00:00:00,Tuesday,Unnamed: 24,2024-11-20 00:00:00,Wednesday,Unnamed: 27,2024-11-21 00:00:00,Thursday,Unnamed: 30,2024-11-22 00:00:00,Friday,Unnamed: 33,2024-11-23 00:00:00,Saturday,Unnamed: 36,2024-11-24 00:00:00,Sunday ,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,2024-11-18 00:00:00.1,Unnamed: 44,2024-11-19 00:00:00.1,Unnamed: 46,2024-11-20 00:00:00.1,Unnamed: 48,2024-11-21 00:00:00.1,Unnamed: 50,2024-11-22 00:00:00.1,Unnamed: 52,2024-11-23 00:00:00.1,Unnamed: 54
日期,,線別,,料號,,製令單號,DIP,品號,品名,上線日,完工日,料齊日,說明,工單數量,組裝,測試,交期,備註,生產數量,工時,製程,生產數量,工時,製程,生產數量,工時,製程,生產數量,工時,製程,生產數量,工時,製程,生產數量,工時,製程,生產數量,工時,製程,,重要訂單,,1~5,6~10,1~5,6~10,1~5,6~10,1~5,6~10,1~5,6~10,1~5,6~10
11/1~11/29,,,,00:00:00,,線修-工時,,,,11/1~11/29,,,,1,0,460,,,1,460,,1,460,,1,460,,1,460,,1,460,,,,,,,,函數,,,1,,1,,1,,1,,1,,,
00:00:00,,,,00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,函數,,,,,,,,,,,,,,
2024-11-21 00:00:00,,85ass,,85-63526-0030,,85N124120078,55-63624-0030 11/15+55-63625-0040 11/20,85-63526-0030,M9010A BP+Mezz,2024-11-21 00:00:00,2024-11-25 00:00:00,2024-11-20 00:00:00,,55,4.5,0,2024-11-25 00:00:00,組裝(重要訂單),,,,,,,,,,55,247.5,組裝,,,,,,,,,,函數,,,,,,,,,,,,,,
2024-11-22 00:00:00,,85test,,85-63526-0030,,85N124120078,,85-63526-0030,M9010A BP+Mezz,2024-11-22 00:00:00,2024-11-25 00:00:00,,,55,0,7,2024-11-25 00:00:00,11/25系統領(重要訂單),,,,,,,,,,,,,55,385,測試,,,,,,,函數,,,,,,,,,,,,,,
2024-11-22 00:00:00,,85test,,85-63526-0030,,85T124100022,,85-63526-0030,M9010A BP+Mezz,2024-11-22 00:00:00,2024-11-25 00:00:00,,,2,0,7,2024-11-25 00:00:00,11/25系統領(重要訂單),,,,,,,,,,,,,2,14,測試,,,,,,,函數,,,,,,,,,,,1,,,
2024-11-20 00:00:00,,85test,,85-63517-0070,,85T124100023,,85-63517-0070,M9019A BP+Mezz,2024-11-20 00:00:00,2024-11-21 00:00:00,,,11,0,10.5,2024-11-21 00:00:00,11/21系統領(重要訂單),,,,,,,11,115.5,測試,,,,,,,,,,,,,函數,,,,,,,,,,,,,,
11/20~11/22,,85ass,,85-63511-3070,,85N124120247,55-38207-0010 OK+59-72131-2250 11/15+55-63511-3020+55-38212-1010 10/19,85-63511-3070,M9035-60001,11/20~11/22,2024-11-27 00:00:00,2024-11-15 00:00:00,,115,22.7,0,2024-11-28 00:00:00,"急件,組裝(重要訂單)",,,,,,,50,1135,組裝,50,1135,組裝,15,340.5,組裝,,,,,,,函數,,,,,,,,,,,,,,
11/21~11/25,,85test,,85-63511-3070,,85N124120247,55-38207-0010 OK+59-72131-2250 11/14+55-63511-3020+55-38212-1010 10/19,85-63511-3070,M9035-60001,11/21~11/25,2024-11-26 00:00:00,,M9035/M9037/M9038測具共用(24台/天),115,0,30,2024-11-28 00:00:00,"急件,11/26*60+11/28*55(分批送驗)(重要訂單)",,,,,,,,,,38,1140,測試,30,900,測試,30,900,測試,,,,函數,,,,,,,,,,,,,,
2024-11-18 00:00:00,,85test,,85-65320-001D,,85N124120020,ETT+Coating,85-65320-001D,"cPCI-ETA3525/9850HE/M16/S128,ETT,CC",2024-11-18 00:00:00,2024-11-19 00:00:00,,,5,0,5,2024-12-02 00:00:00,"急件,後測(重要訂單)",5,25,測試,,,,,,,,,,,,,,,,,,,函數,,,1,,,,,,,,,,,
11/19~11/20,,85ass,,85-72133-B21D,,85N124120178,59-72133-B210 11/19中,85-72133-B21D,t2Express-SL2-i7-6822EQ-cc/EDCO,11/19~11/20,2024-11-25 00:00:00,2024-11-01 00:00:00,,47,1,0,2024-11-27 00:00:00,組裝(前置作業)(重要訂單),,,,32,32,組裝,15,15,組裝,,,,,,,,,,,,,函數,,,,,,,,,,,,,,
11/19~11/20,,85test,,85-72133-B21D,,85N124120178,ETT+Coating,85-72133-B21D,t2Express-SL2-i7-6822EQ-cc/EDCO,11/19~11/20,2024-11-25 00:00:00,PP-ETT-4085,ETT測具*8(Expres系列共用),47,0,20,2024-11-27 00:00:00,ETT（每天務必ETT*4輪）,,,,32,640,ETT,15,300,ETT,,,,,,,,,,,,,函數,,,,,,,,,,,,,,
2024-11-21 00:00:00,,85test,,85-72133-B21D,,85N124120178,ETT+Coating,85-72133-B21D,t2Express-SL2-i7-6822EQ-cc/EDCO,2024-11-21 00:00:00,2024-11-25 00:00:00,,,47,2,1.3,2024-11-27 00:00:00,轉作COATING,,,,,,,,,,47,0,DIP-Coating,,,,,,,,,,函數,,,,,,,,,,,,,,
2024-11-22 00:00:00,,85test,,85-72133-B21D,,85N124120178,ETT+Coating,85-72133-B21D,t2Express-SL2-i7-6822EQ-cc/EDCO,2024-11-22 00:00:00,2024-11-25 00:00:00,,,47,0,1.3,2024-11-27 00:00:00,測開機(重要訂單),,,,,,,,,,,,,47,61.1,,,,,,,,函數,,,,,,,,,,,,,,
2024-11-18 00:00:00,,85test,,85-31122-190D,,85N124100478,ETT+Coating,85-31122-190D,"CT-3620ASM/E3845/M4G/S32,ETT,CC",2024-11-18 00:00:00,2024-11-26 00:00:00,,,4,5,0,2024-12-03 00:00:00,組裝,4,20,組裝,,,,,,,,,,,,,,,,,,,函數,,,1,,,,,,,,,,,
11/19~11/22,,85ass,,85-31122-190D,,85N124100478,ETT+Coating,85-31122-190D,"CT-3620ASM/E3845/M4G/S32,ETT,CC",11/19~11/22,2024-11-26 00:00:00,,PE(Kyle)驗證,12,0,20,2024-12-03 00:00:00,"11/19~11/21 PE(Kyle)驗證,11/22接測",,,,0,0,PE驗證,0,0,PE驗證,0,0,PE驗證,12,240,測試,,,,,,,函數,,,,,,,,,,,,,,
2024-11-23 00:00:00,,85ass,,85-31122-190D,,85N124100478,ETT+Coating,85-31122-190D,"CT-3620ASM/E3845/M4G/S32,ETT,CC",2024-11-23 00:00:00,2024-11-26 00:00:00,PP-ETT-4085,85-31122/31125/31128/31131共用ETT測具*4,4,0,20,2024-12-03 00:00:00,C棟 1F CHAMBER J 作ETT（每天務必ETT*4輪）,,,,,,,,,,,,,,,,4,80,ETT,,,,函數,,,,,,,,,,,,,1,
2024-11-18 00:00:00,,85test,,85-65522-101C,,85N124120010,Coating,85-65522-101C,"R4600-3A1-MB,CC",2024-11-18 00:00:00,2024-11-22 00:00:00,,,50,0,1,2024-11-22 00:00:00,11/22系統領(重要訂單),50,50,,,,,,,,,,,,,,,,,,,,函數,,,,,,,,,,,,,,
2024-11-18 00:00:00,,85test,,85-66822-101C,,85E124100342,Coating,85-66822-101C,Redflex CCI Board Assembly,2024-11-18 00:00:00,2024-11-28 00:00:00,,,51,0,1,2024-11-28 00:00:00,11/28系統領(重要訂單),51,51,,,,,,,,,,,,,,,,,,,,函數,,,,,,,,,,,,,,
2024-11-18 00:00:00,,85test,,85-65A31-002C,,85N124120014,Coating,85-65A31-002C,"SIM-CCU01,CC",2024-11-18 00:00:00,2024-11-22 00:00:00,Coating:15分/片,,9,0.5,1,2024-11-22 00:00:00,轉作COATING,9,0,DIP-Coating,,,,,,,,,,,,,,,,,,,函數,,,,1,,,,,,,,,,
2024-11-19 00:00:00,,85test,,85-65A31-002C,,85N124120014,Coating,85-65A31-002C,"SIM-CCU01,CC",2024-11-19 00:00:00,2024-11-22 00:00:00,,,9,0,1,2024-11-22 00:00:00,11/22系統領(重要訂單),,,,9,9,,,,,,,,,,,,,,,,,函數,,,,,,1,,,,,,,,
2024-11-18 00:00:00,,85test,,85-65A31-003C,,85N124120309,Coating,85-65A31-003C,"SIM-CCU01,CC",2024-11-18 00:00:00,2024-11-22 00:00:00,Coating:15分/片,,51,0,0,2024-11-22 00:00:00,轉作COATING,51,0,DIP-Coating,,,,,,,,,,,,,,,,,,,函數,,,,,,,,,,,,,,
2024-11-19 00:00:00,,85test,,85-65A31-003C,,85N124120309,Coating,85-65A31-003C,"SIM-CCU01,CC",2024-11-19 00:00:00,2024-11-22 00:00:00,,,51,3,1,2024-11-22 00:00:00,"DEV-0052630(on board),11/22系統領(重要訂單)",,,,51,204,,,,,,,,,,,,,,,,,函數,,,,,,,,,,,,,,
2024-11-18 00:00:00,,85ass,,85-37218-202C,,85N124120019,59-37218-2010 OK,85-37218-202C,"cPCI-A3X10,CC",2024-11-18 00:00:00,2024-11-22 00:00:00,2024-11-11 00:00:00,,5,1,0,2024-11-29 00:00:00,組裝(前置作業)(重要訂單),5,5,組裝,,,,,,,,,,,,,,,,,,,函數,,,1,,,,,,,,,,,
2024-11-19 00:00:00,,85test,,85-37218-202C,,85N124120019,Coating,85-37218-202C,"cPCI-A3X10,CC",2024-11-19 00:00:00,2024-11-22 00:00:00,,,5,15,11,2024-11-29 00:00:00,轉作COATING,,,,5,0,DIP-Coating,,,,,,,,,,,,,,,,函數,,,,,1,,,,,,,,,
2024-11-20 00:00:00,,85ass,,85-37218-202C,,85N124120019,Coating,85-37218-202C,"cPCI-A3X10,CC",2024-11-20 00:00:00,2024-11-22 00:00:00,,,5,15,0,2024-11-29 00:00:00,組裝(重要訂單),,,,,,,5,75,組裝,,,,,,,,,,,,,函數,,,,,,,1,,,,,,,
2024-11-21 00:00:00,,85test,,85-37218-202C,,85N124120019,Coating,85-37218-202C,"cPCI-A3X10,CC",2024-11-21 00:00:00,2024-11-22 00:00:00,,,5,0,11,2024-11-29 00:00:00,測試(重要訂單),,,,,,,,,,5,55,測試,,,,,,,,,,函數,,,,,,,,,1,,,,,
2024-11-19 00:00:00,,85ass,,85-66055-002C,,85E124010435,55-66055-002E OK+59-72512-522E 11/15,85-66055-002C,GROHE LHC iMX8MP Mother Board/CC,2024-11-19 00:00:00,2024-11-28 00:00:00,2024-11-14 00:00:00,PCC-Erica告知不需驗證,24,2,0,2024-11-28 00:00:00,組裝(重要訂單),,,,24,48,組裝,,,,,,,,,,,,,,,,函數,,,,,,,,,,,,,,
2024-11-20 00:00:00,,85test,,85-66055-002C,,85E124010435,Coating,85-66055-002C,GROHE LHC iMX8MP Mother Board/CC,2024-11-20 00:00:00,2024-11-28 00:00:00,,,24,0,6,2024-11-28 00:00:00,測試(重要訂單),,,,,,,24,144,測試,,,,,,,,,,,,,函數,,,,,,,,,,,,,,
2024-11-21 00:00:00,,85ass,,85-66055-002C,,85E124010435,Coating,85-66055-002C,GROHE LHC iMX8MP Mother Board/CC,2024-11-21 00:00:00,2024-11-28 00:00:00,,,24,2,0,2024-11-28 00:00:00,拆解(重要訂單),,,,,,,,,,24,48,拆解,,,,,,,,,,函數,,,,,,,,,,,,,,
2024-11-19 00:00:00,,85ass,,85-66055-100C,,85E124090103,55-66055-101E OK+59-72512-522E 11/15,85-66055-100C,GROHE BCU iMX8MP Mother Board/CC,2024-11-19 00:00:00,2024-11-28 00:00:00,2024-11-14 00:00:00,PCC-Erica告知不需驗證,14,5,0,2024-11-28 00:00:00,組裝(重要訂單),,,,14,70,組裝,,,,,,,,,,,,,,,,函數,,,,,,,,,,,,,,
2024-11-20 00:00:00,,85test,,85-66055-100C,,85E124090103,Coating,85-66055-100C,GROHE BCU iMX8MP Mother Board/CC,2024-11-20 00:00:00,2024-11-28 00:00:00,,,14,0,20,2024-11-28 00:00:00,測試(重要訂單),,,,,,,14,280,測試,,,,,,,,,,,,,函數,,,,,,,,,,,,,,
2024-11-21 00:00:00,,85ass,,85-66055-100C,,85E124090103,Coating,85-66055-100C,GROHE BCU iMX8MP Mother Board/CC,2024-11-21 00:00:00,2024-11-28 00:00:00,,,14,5,0,2024-11-28 00:00:00,拆解(重要訂單),,,,,,,,,,14,70,拆解,,,,,,,,,,函數,,,,,,,,,,,,,,
2024-11-18 00:00:00,,85test,,85-65A34-212C,,85R124110086,Coating,85-65A34-212C,"cPCI-3EW20-MVB,CC",2024-11-18 00:00:00,2024-11-25 00:00:00,,PE(Kyle)驗證,1,9,12,2024-11-26 00:00:00,轉作COATING,1,0,DIP-Coating,,,,,,,,,,,,,,,,,,,函數,,,1,,,,,,,,,,,
