Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,2025-06-02 00:00:00,Monday,Unnamed: 21,2025-06-03 00:00:00,Tuesday,Unnamed: 24,2025-06-04 00:00:00,Wednesday,Unnamed: 27,2025-06-05 00:00:00,Thursday,Unnamed: 30,2025-06-06 00:00:00,Friday,Unnamed: 33,2025-06-07 00:00:00,Saturday,Unnamed: 36,2025-06-08 00:00:00,Sunday ,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,2025-06-02 00:00:00.1,Unnamed: 44,2025-06-03 00:00:00.1,Unnamed: 46,2025-06-04 00:00:00.1,Unnamed: 48,2025-06-05 00:00:00.1,Unnamed: 50,2025-06-06 00:00:00.1,Unnamed: 52,2025-06-07 00:00:00.1,Unnamed: 54
日期,,線別,,料號,,製令單號,DIP,品號,品名,上線日,完工日,料齊日,說明,工單數量,組裝,測試,交期,備註,生產數量,工時,製程,生產數量,工時,製程,生產數量,工時,製程,生產數量,工時,製程,生產數量,工時,製程,生產數量,工時,製程,生產數量,工時,製程,,重要訂單,,1~5,6~10,1~5,6~10,1~5,6~10,1~5,6~10,1~5,6~10,1~5,6~10
00:00:00,,,,00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,函數,,,,,,,,,,,,,,
00:00:00,,,,00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,函數,,,,,,,,,,,,,,
00:00:00,,,,00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,函數,,,,,,,,,,,,,,
2025-06-05 00:00:00,,85ass,,85-63539-0040,,85N125060094,55-63644-0010+55-63645-0010+55-63646-0010 OK+55-63539-0030+59-72135-0330 6/3,85-63539-0040,M9038-60001,2025-06-05 00:00:00,2025-06-09 00:00:00,2025-06-02 00:00:00,,25,20,0,2025-06-12 00:00:00,組裝(重要訂單),,,,,,,,,,25,500,組裝,,,,,,,,,,函數,,,,,,,,,,,,,,
2025-06-06 00:00:00,,85test,,85-63539-0040,,85N125060094,,85-63539-0040,M9038-60001,2025-06-06 00:00:00,2025-06-09 00:00:00,,,25,0,39,2025-06-12 00:00:00,(重要訂單),,,,,,,,,,,,,25,975,測試,,,,,,,函數,,,,,,,,,,,,,,
2025-06-06 00:00:00,,85ass,,85-63646-0010,,85N125090069,55-63646-0010 OK,85-63646-0010,M9038-35501,2025-06-06 00:00:00,2025-06-09 00:00:00,2025-06-04 00:00:00,,20,5,0,2025-06-18 00:00:00,組裝(重要訂單),,,,,,,,,,,,,20,100,組裝,,,,,,,函數,,,,,,,,,,,,,,
2025-06-07 00:00:00,,85test,,85-63646-0010,,85N125090069,,85-63646-0010,M9038-35501,2025-06-07 00:00:00,2025-06-09 00:00:00,,,20,0,5,2025-06-18 00:00:00,(重要訂單),,,,,,,,,,,,,,,,20,100,測試,,,,函數,,,,,,,,,,,,,,
6/2~6/3,,85test,,85-63547-003E,,85E125040134,異常-重排,85-63547-003E,M9538A/M16,6/2~6/3,2025-06-04 00:00:00,,FT2(後側)一天4台,5,10,20,2025-06-09 00:00:00,"急件,(重要訂單)",4,120,測試,1,30,測試,,,,,,,,,,,,,,,,函數,,,1,,1,,,,,,,,,
6/4~6/10,,85test,,85-63547-300E,,85E125040108,55-63645-0010+55-63646-0010+55-63547-003E+59-72138-H120 OK,85-63547-300E,M9538A/M64/U.2,6/4~6/10,2025-06-11 00:00:00,,FT2(後側)一天4台,5,10,20,2025-06-11 00:00:00,"急件,6/4~6/6 客戶連線設定,6/9接測試(重要訂單)",,,,,,,0,0,PE驗證,0,0,PE驗證,0,0,PE驗證,,,,,,,函數,85E125040108,,,,,,,,,,,,,
