Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48
2012-10-22 00:00:00,Monday,,2012-10-23 00:00:00,Tuesday,,2012-10-24 00:00:00,Wednesday,,2012-10-25 00:00:00,Thursday,,2012-10-26 00:00:00,Friday,,2012-10-27 00:00:00,Saturday,,,,2025-04-21 00:00:00,Monday,,2025-04-22 00:00:00,Tuesday,,2025-04-23 00:00:00,Wednesday,,2025-04-24 00:00:00,Thursday,,2025-04-25 00:00:00,Friday,,2025-04-26 00:00:00,Saturday,,2025-04-27 00:00:00,Sunday ,,,,,,,,,
上線日,線別,製令單號,工單數量,工時,,製令單號,,品號,品名,上線日,,BIOS,File name,工單數量,,組裝,測試,領料單,,生產數量,工時,製程,生產數量,工時,製程,生產數量,工時,製程,生產數量,工時,製程,生產數量,工時,製程,生產數量,工時,製程,生產數量,工時,實際生產,總生產量,總生產工時,,,,,,
,,,,,,,,,,,,,,,,,,,,2878,22291.25,,2711,23274.800000000003,,2213,22584.25,,2566,22631.05,,1933,19613.05,,1320,11565.5,,0,0,,13626,121959.90000000001,,產能利用率(%),,,,
,,,,,,,,,,,,,,,,,,,,正常產能利用率(%),1.4252717391304348,,,1.4881585677749363,,,1.4440057544757032,,,1.446998081841432,,,1.4791138763197587,,,0.9311996779388084,,,0,,,,,1.6429495394962146,,,,
,,,,,,,,,,,,,,,,,,,,加班產能利用率(%),1.0329587581093604,,,1.0785356811862836,,,1.0465361445783132,,,1.0487048192771085,,,0.9945765720081136,,,0.7385376756066411,,,0,,,,,1.1879699301531639,,,,
,,,,,,,,,,,,,,,,,,,,加班工時(H),3.2604166666666665,,,3.7425490196078446,,,3.4040441176470586,,,3.426985294117647,,,3.114240196078431,-1,,7.139197530864197,,,-1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-10-22 00:00:00,Monday,,2012-10-23 00:00:00,Tuesday,,2012-10-24 00:00:00,Wednesday,,2012-10-25 00:00:00,Thursday,,2012-10-26 00:00:00,Friday,,2012-10-27 00:00:00,Saturday,,,,2025-04-28 00:00:00,Monday,,2025-04-29 00:00:00,Tuesday,,2025-04-30 00:00:00,Wednesday,,2025-05-01 00:00:00,Thursday,,2025-05-02 00:00:00,Friday,,2025-05-03 00:00:00,Saturday,,2025-05-04 00:00:00,Sunday ,,,,,,,,,
上線日,線別,製令單號,工單數量,工時,,製令單號,,品號,品名,上線日,,BIOS,File name,工單數量,,組裝,測試,領料單,,生產數量,工時,製程,生產數量,工時,製程,生產數量,工時,製程,生產數量,工時,製程,生產數量,工時,製程,生產數量,工時,製程,生產數量,工時,製程,總生產量,總生產工時,,,,,,
