Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
單別,單號,品號,品名,預計產量,已領套數,已生產量,報廢數量,預計開工,預計完工,實際開工,實際完工,狀態碼,確認碼ZREL,訂單,規格,描述,工單備註,已刪除,急單註記,專案代碼,MRP控制員,生產主管
91C1-,91C125070455,91-7C003-A010,EGX-MXM-T1000/Align,2,0,0,0,20251216,20251229,,,REL PRC SETC DLFL MANC,,0,(EOL)(*)(G),"NVidia® Quadro™ T1000 Embedded Graphics with Advantech tag on the inner and outside box, with Carton and ESD bag",,X,,,P13,PAC
91C1-,91C125070456,91-7C003-A010,EGX-MXM-T1000/Align,2,0,0,0,20251216,20251229,,,REL PRC SETC DLFL MANC,,0,(EOL)(*)(G),"NVidia® Quadro™ T1000 Embedded Graphics with Advantech tag on the inner and outside box, with Carton and ESD bag",,X,,,P13,PAC
91E1-,91E123070001,AG-M9038-60001,M9038-60001,12,0,12,0,20220819,20220901,20220901,,PCNF DLV PRC SETC CLSD VCAL GMPS MANC,X,0,"(G)Core i7 9850HE, SSD 480GB, RAM 32GB","Keysight Lefty PXIe Controller, Core i7 9850HE, SSD 480GB, RAM 32GB",#8010,,,07.M9038-60001,P15,ASY
91E1-,91E123070005,AG-M9038-60001,M9038-60001,33,0,33,0,20220915,20220929,20220929,,PCNF DLV PRC SETC CLSD VCAL GMPS MANC,X,0,"(G)Core i7 9850HE, SSD 480GB, RAM 32GB","Keysight Lefty PXIe Controller, Core i7 9850HE, SSD 480GB, RAM 32GB",#8010,,,07.M9038-60001-5,P15,ASY
91E1-,91E123070009,AG-M9038-60001,M9038-60001,20,0,20,0,20220915,20221014,20221014,,PCNF DLV PRC SETC CLSD VCAL RESA GMPS MANC,X,0,"(G)Core i7 9850HE, SSD 480GB, RAM 32GB","Keysight Lefty PXIe Controller, Core i7 9850HE, SSD 480GB, RAM 32GB",#8010,,,07.M9038-60001-1,P15,ASY
91E1-,91E123070013,AG-M9038-60001,M9038-60001,15,0,15,0,20220915,20221011,20221007,,PCNF DLV PRC SETC CLSD VCAL GMPS MANC,X,0,"(G)Core i7 9850HE, SSD 480GB, RAM 32GB","Keysight Lefty PXIe Controller, Core i7 9850HE, SSD 480GB, RAM 32GB",#8010,,,07.M9038-60001-2,P15,ASY
91E1-,91E123070017,AG-M9038-60001,M9038-60001,15,0,15,0,20220915,20221017,20221017,,PCNF DLV PRC SETC CLSD VCAL GMPS MANC,X,0,"(G)Core i7 9850HE, SSD 480GB, RAM 32GB","Keysight Lefty PXIe Controller, Core i7 9850HE, SSD 480GB, RAM 32GB",#8010,,,07.M9038-60001-3,P15,ASY
91E1-,91E123070021,91-A7003-002E,EP620000 board Kit,33,0,0,0,20221014,20230721,,,REL PRC SETC DLFL MANC,,0,(*)(EA)(RW),"i7 CPU with PCIex16 slot, FPGA, 16GB DDR4, Riser card, 128GB SSD, A2000","DEV-0042103,#8645",X,,07.91-A7003-002E,P14,PAC
91E1-,91E123070024,91-A7003-002E,EP620000 board Kit,6,0,6,4,20230314,20230420,20230314,,PCNF DLV PRC SETC CLSD VCAL GMPS MANC,X,0,(*)(EA)(RW),"i7 CPU with PCIex16 slot, FPGA, 16GB DDR4, Riser card, 128GB SSD, A2000",#8645,,,07.91-A7003-002E-2,P14,PAC
