Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,第,18,週 生 產 計 畫,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
日期,,線別,製令單號,品號,品名,完工日,,工單數量,實際生產,SAP,包裝,進度,料齊日,備註,生產工時,製令單號,料號,,,重要訂單
2024-12-23 00:00:00,,,,,,,,,,,,,,,9,,,,,
2024-12-23 00:00:00,12/20,,ZPR124120091,59-65632-006E,WeRide GU BOX Carrier board,2024-12-21 00:00:00,,3,3,3,1.4,卡OK*3+NG*1,2024-12-06 00:00:00,簡易包裝 (12/20) 一箱6片,13.2,59E124120205,59-65632-006E,,,
2024-12-23 00:00:00,,,91N124110425,91-31128-0830,cPCI-3520L-HT/8400H/M8G,2024-12-20 00:00:00,,33,27,30,5,PASS*30+AN31*3,2024-12-16 00:00:00,(12/18),144,85N124110425,85-31128-0830,,,
2024-12-23 00:00:00,,,91E125020034,58-99558-000E,simple pack for CSA-7211 MB C621,2024-12-23 00:00:00,,20,15,15,5,PASS*16+,2024-12-12 00:00:00,(12/20) 一箱5台,84,59E125020034,59-65531-005E,,,
2024-12-23 00:00:00,,,91E124110141,91-31125-0C0E,cPCI-3630G/E3950/M8G,2024-12-23 00:00:00,,5,5,5,2,卡OK,2024-12-20 00:00:00,(12/18),19,85E124110141,85-31125-0C0E,,,
2024-12-23 00:00:00,,,91E124120242,91-77522-106E,ASH-CECAR-ARIS-CF-i3-8100H,2024-12-27 00:00:00,,290,276,276,1.7,卡OK*91+PASS*216+,2024-12-09 00:00:00,(12/19*150+12/20*151),478.2,85E124120050,85-77522-106E,,,
2024-12-23 00:00:00,,VIP,91E124120267,91-66038-101E,Itr SBR CB+nanoX-BT-E3805-2G/32G/Itr+HS,2024-12-24 00:00:00,,80,80,80,1.4,卡OK,2024-12-05 00:00:00,(12/21) 一箱20台,121,85E124120266,85-66038-101E,,,
2024-12-23 00:00:00,,,91N125010142,91-72216-1420,cExpress-WL-i5-8365UE/TPM/GD,2024-01-06 00:00:00,,46,46,46,1.4,卡OK,2024-12-11 00:00:00,(12/17),73.39999999999999,59N125010142,59-72216-1420,,,
2024-12-23 00:00:00,,,91N124120370,91-31426-0540,cPCI-6540/9850HL/M8-0,2024-12-26 00:00:00,,5,5,5,5,卡OK,2024-12-05 00:00:00,(12/18),34,85N124120370,85-31426-0540,,,
2024-12-23 00:00:00,,,91N124120367,91-72128-4350,ASH-SL-i3-6100E/S4G/JRC-ETT,2024-12-31 00:00:00,,250,250,250,1.4,卡OK*245+PASS*1+NA31*2+,2024-12-16 00:00:00,(12/17),359,85N124120366,85-72128-4350,,,
2024-12-23 00:00:00,,,91N124120369,91-72128-4350,ASH-SL-i3-6100E/S4G/JRC-ETT,2024-12-31 00:00:00,,250,250,250,1.4,卡OK,2024-12-16 00:00:00,(12/19),359,85N124120368,85-72128-4350,,,
2024-12-23 00:00:00,,,91N124120362,91-A3032-0020,XA182-ANISE Power board,2024-12-25 00:00:00,,300,240,240,1.5,卡OK,2024-12-18 00:00:00,(12/19),369,59N124110482,59-A3032-0020,,,
2024-12-23 00:00:00,,,91N125010177,91-95241-1010,THS-siMX8M,2024-12-24 00:00:00,,4,4,4,5,,2024-12-20 00:00:00,無卡,29,,,,,
2024-12-23 00:00:00,,,91N125030097,91-95302-2010,THS-nXEL-B-I,2024-12-26 00:00:00,,2,2,2,5,,2024-12-17 00:00:00,無卡,19,,,,,
2024-12-23 00:00:00,,,,,,,,,,,,,,,9,,,,,
2024-12-23 00:00:00,,,,,,,,,,,,,,,9,,,,,
2024-12-23 00:00:00,,,,,,,,,,,,,,,9,,,,,
,,,,2024-12-23 00:00:00,(一)  生產狀況,,,,1203,,,,,當日總工時(min),2137.8,OVER,,,,
日期,,線別,製令單號,品號,品名,完工日,,工單數量,實際生產,SAP,包裝,進度,料齊日,備註,生產工時,,,,,
2024-12-24 00:00:00,,,,,,,,,,,,,,,9,,,,,
2024-12-24 00:00:00,,,91N124110425,91-31128-0830,cPCI-3520L-HT/8400H/M8G,2024-12-20 00:00:00,,33,3,30,5,PASS*3+AN31*3,2024-12-16 00:00:00,(12/18),24,85N124110425,85-31128-0830,,,
2024-12-24 00:00:00,,VIP,91E124120024,91-66946-000E,"B&R X20 Edge System (No 4G,TCM,TPM)",2024-12-24 00:00:00,,30,30,30,4.2,卡OK,2024-12-16 00:00:00,(12/17),135,85E124120024,85-66946-000E,,,
2024-12-24 00:00:00,,,91R124120065,91-72137-021C,t1Express-ID7-D-1746TER/cc/S48G/WMT,12/24中,,25,25,25,1.4,PASS,,(12/23),44,,,,,
2024-12-24 00:00:00,,,91E124120281,91-72221-210E,cExpress-MTL-135U/UNI,12/24中,,12,12,12,1.4,卡OK,2024-12-09 00:00:00,(12/21),25.799999999999997,59E124120280,59-72221-210E,,,
2024-12-24 00:00:00,,,91E124110113,91-72221-500E,cExpress-MTL-135H,12/24中,,11,11,11,1.4,卡OK,2024-11-19 00:00:00,(12/21),24.4,59E124110112,59-72221-500E,,,
2024-12-24 00:00:00,,,91N124120334,91-48106-0050,CM4-SL2-WiTronix,2024-12-24 00:00:00,,41,41,41,2.1,卡OK+異常,2024-11-28 00:00:00,(12/19),95.10000000000001,85N124120333,85-48106-0050,,,
2024-12-24 00:00:00,,,91E125010100,91-72220-210E,cExpress-ALN-N97-8G-32G/Mindray,2024-12-24 00:00:00,,6,6,6,1.4,卡OK*5+PASS*1,2024-12-09 00:00:00,(12/19),17.4,59E125010100,59-72220-210E,,,
2024-12-24 00:00:00,,,91E124110191,91-48104-030D,CM1-BT1-E3815-ETT-CC-HR,2024-12-24 00:00:00,,10,10,10,2,PASS,2024-12-09 00:00:00,(12/20),29,85E124110191,85-48104-030D,,,
2024-12-24 00:00:00,,,91N124110428,91-71116-9030,ETX-BT-E3845-NO AUDIO,2024-12-24 00:00:00,,26,26,26,1.4,卡OK,2024-12-23 00:00:00,(12/19),45.4,59N124110428,59-71116-9040,,,
2024-12-24 00:00:00,,,91N124120421,91-72135-3500,Express-CFR-E-2276ME/TPM2.0/32G/BD,2024-12-24 00:00:00,,178,176,176,1.4,卡OK*176+AN31*2,2024-12-09 00:00:00,(12/19),255.39999999999998,59N124120421,59-72135-3500,,,
2024-12-24 00:00:00,,,91N125010304,91-27012-0150,ECAT-4XMO-MT,2024-12-24 00:00:00,,3,3,3,2,卡OK,2024-12-23 00:00:00,(12/20),15,85N125010304,85-27012-0150,,,
2024-12-24 00:00:00,,,91N125010240,91-72139-0030,Express-ADP-i7-12800HE,2024-12-24 00:00:00,尾數,30,2,30,1.4,PASS*2,2024-12-13 00:00:00,(12/21),11.8,59N125010240,59-72139-0040,,,
2024-12-24 00:00:00,,VIP,91N125010190,91-7A104-2170,AmITX-KB-G-Q170/ITS i5,2024-12-24 00:00:00,,150,84,150,5.6,卡OK*86+PASS*65+NG*5+異常,2024-12-09 00:00:00,(12/19) 一箱6片,479.4,85N125010190,85-7A104-2140,,,
2024-12-24 00:00:00,,VIP,91E125010078,91-72512-141E,LEC-iMX8MP-Q-N-8G-32G-BW-ER/Carrier,2024-12-25 00:00:00,,4,4,4,1.4,PASS*6,2024-12-09 00:00:00,(12/20),14.6,59E125010078,59-72512-141E,,,
2024-12-24 00:00:00,,,91N124120183,91-72512-7110,LEC-iMX8MP-Q-2G-32G-CT/Zoetis,2024-12-27 00:00:00,,180,180,180,1.4,卡OK,2024-12-04 00:00:00,(12/20),261,59T124120028,59-72512-7110,,,
2024-12-24 00:00:00,,VIP,91N125010161,AG-N5650-00021,2 Slot ATP Chassis Rackmount Kit-CB,2024-12-25 00:00:00,,10,10,10,1.4,,2024-12-23 00:00:00,無卡,23,,,,,
2024-12-24 00:00:00,,,91N124120362,91-A3032-0020,XA182-ANISE Power board,2024-12-25 00:00:00,尾數,300,60,300,1.5,卡OK,2024-12-18 00:00:00,(12/19),99,59N124110482,59-A3032-0020,,,
2024-12-24 00:00:00,,,91E124120242,91-77522-106E,ASH-CECAR-ARIS-CF-i3-8100H,2024-12-27 00:00:00,尾數,290,14,290,1.7,卡OK*14,2024-12-09 00:00:00,(12/19*150+12/20*151),32.8,85E124120050,85-77522-106E,,,
2024-12-24 00:00:00,,,91R124110170,91-72506-5250,LEC-AL-E3940-4G-ER/IVN5,2024-12-25 00:00:00,,76,76,76,1.4,PASS,,(12/19),115.39999999999999,,,,,
2024-12-24 00:00:00,,VIP,91N124120293,90-20064-0120,Touch function key Kit: MLC8 21.5/23.8,2024-12-25 00:00:00,,200,200,200,2.5,卡OK,2024-12-20 00:00:00,(12/18),509,59N124120293,59-A3034-0020,,,
2024-12-24 00:00:00,,,,,,,,,,,,,,,9,,,,,
2024-12-24 00:00:00,,,,,,,,,,,,,,,9,,,,,
2024-12-24 00:00:00,,,,,,,,,,,,,,,9,,,,,
,,,,2024-12-24 00:00:00,(二)  生產狀況,,,,973,,,,,當日總工時(min),2292.5,OVER,,,,
日期,,線別,製令單號,品號,品名,完工日,,工單數量,實際生產,SAP,包裝,進度,料齊日,備註,生產工時,,,,,
2024-12-25 00:00:00,,,,,,,,,,,,,,,9,,,,,
2024-12-25 00:00:00,,,91E124120181,91-95372-400E,THSF-cMTL-B,2024-12-25 00:00:00,,11,11,11,1.4,,2024-12-24 00:00:00,無卡,24.4,,,,,
2024-12-25 00:00:00,,,91E124110107,91-72221-400E,cExpress-MTL-125H,12/25中,,35,35,35,1.4,卡OK*35++NG*1,2024-11-19 00:00:00,(12/23),58,59E124110107,59-72221-400E,,,
2024-12-25 00:00:00,,,91E124120174,91-72221-411E,cExpress-MTL-125H-Ultra5-T1/eDP/GEHC,12/25中,,6,6,6,1.4,卡OK,2024-12-09 00:00:00,(12/23),17.4,59E124120174,59-72221-412E,,,
2024-12-25 00:00:00,,,91N124120325,91-72221-4010,cExpress-MTL-125H,12/25中,,20,20,20,1.4,卡OK*18+PASS*2,2024-12-04 00:00:00,(12/24),37,59N124120325,59-72221-4010,,,
2024-12-25 00:00:00,,,91N124120363,91-A3032-0020,XA182-ANISE Power board,2024-12-25 00:00:00,,298,298,298,1.5,卡OK,2024-12-18 00:00:00,(12/21),456,59N124110483,59-A3032-0020,,,
2024-12-25 00:00:00,,VIP,91N125010190,91-7A104-2170,AmITX-KB-G-Q170/ITS i5,2024-12-24 00:00:00,尾數,150,66,150,5.6,卡OK*65+NG*5+異常,2024-12-09 00:00:00,(12/19) 一箱6片,378.59999999999997,85N125010190,85-7A104-2140,,,
2024-12-25 00:00:00,,VIP,91N125010231,91-7A104-2170,AmITX-KB-G-Q170/ITS i5,2024-12-25 00:00:00,,150,138,138,5.6,卡OK*140+PASS*9+待測*1,2024-12-24 00:00:00,(12/23) 一箱6片,781.8,85N125010229,85-7A104-2140,,,
2024-12-25 00:00:00,,VIP,91E124120340,91-66038-101E,Itr SBR CB+nanoX-BT-E3805-2G/32G/Itr+HS,2024-12-25 00:00:00,,15,15,15,1.4,卡OK,2024-12-05 00:00:00,(12/21) 一箱20台,30,85E124120054,85-66038-101E,,,
2024-12-25 00:00:00,,VIP,91E124120054,91-66038-101E,Itr SBR CB+nanoX-BT-E3805-2G/32G/Itr+HS,2024-12-25 00:00:00,,5,5,5,1.4,卡OK,2024-12-05 00:00:00,(12/21) 一箱20台,16,85E124120266,85-66038-101E,,,
2024-12-25 00:00:00,,VIP,91E124120363,91-66038-101E,Itr SBR CB+nanoX-BT-E3805-2G/32G/Itr+HS,2024-12-25 00:00:00,,170,160,160,1.4,卡OK*166+PASS*4,2024-12-05 00:00:00,(12/21) 一箱20台,233,85E124120266,85-66038-101E,,,
2024-12-25 00:00:00,,,91E124120296,91-79028-000E,Aristocrat Gen10 Config stick,2024-12-25 00:00:00,,85,85,85,1.4,卡OK,2024-12-16 00:00:00,(12/21),127.99999999999999,59E124120295,59-79028-005E,,,
2024-12-25 00:00:00,,,91N124120222,91-48104-124D,CM2-BT2-E3825-ETT-CC-ELTA,2024-12-27 00:00:00,,7,7,7,2.1,卡OK,2024-12-24 00:00:00,(12/20),23.700000000000003,85N124120222,85-48104-124D,,,
2024-12-25 00:00:00,,,91N125010188,91-72304-00B0,nanoX-BT-E3845-2G,2024-12-26 00:00:00,,8,8,8,1.9,卡OK,2024-12-24 00:00:00,(12/19),24.2,59N125010188,59-72304-00C0,,,
2024-12-25 00:00:00,,VIP,91N124100573,91-72215-1140,cExpress-KL-i5-7300U/SMD,2024-12-30 00:00:00,,100,45,45,1.6,卡OK*45+PASS*32+,2024-12-24 00:00:00,(12/23),81,59N124100573,59-72215-1140,,,
2024-12-25 00:00:00,,VIP,91N125010125,AG-M9038-60001,M9038-60001,2024-12-26 00:00:00,,39,37,37,10,卡OK*37+PASS*1+NG*1,2024-12-23 00:00:00,(12/21),379,85N125010273,85-63539-0030,,,
2024-12-25 00:00:00,,,,,,,,,,,,,,,9,,,,,
2024-12-25 00:00:00,,,,,,,,,,,,,,,9,,,,,
2024-12-25 00:00:00,,,,,,,,,,,,,,,9,,,,,
,,,,2024-12-25 00:00:00,(三)  生產狀況,,,,936,,,,,當日總工時(min),2704.0999999999995,OVER,,,,
日期,,線別,製令單號,品號,品名,完工日,,工單數量,實際生產,SAP,包裝,進度,料齊日,備註,生產工時,,,,,
2024-12-26 00:00:00,,,,,,,,,,,,,,,9,,,,,
2024-12-26 00:00:00,,VIP,91N125010231,91-7A104-2170,AmITX-KB-G-Q170/ITS i5,2024-12-25 00:00:00,尾數,150,12,150,5.6,卡OK*12,2024-12-24 00:00:00,(12/23) 一箱6片,76.19999999999999,85N125010229,85-7A104-2140,,,
2024-12-26 00:00:00,,,91E125010067,91-72217-220E,cExpress-EL-x6211E/TPM2.0/US,2024-12-25 00:00:00,,6,6,6,1.4,卡OK,2024-12-18 00:00:00,(12/23),17.4,59E125010067,59-72217-220E,,,
2024-12-26 00:00:00,,VIP,91E124120363,91-66038-101E,Itr SBR CB+nanoX-BT-E3805-2G/32G/Itr+HS,2024-12-25 00:00:00,尾數,170,10,170,1.4,卡OK*6+PASS*4,2024-12-05 00:00:00,(12/21) 一箱20台,23,85E124120266,85-66038-101E,,,
2024-12-26 00:00:00,,VIP,91N125010125,AG-M9038-60001,M9038-60001,2024-12-25 00:00:00,尾數,39,2,39,10,PASS*2,2024-12-23 00:00:00,(12/21),29,85N125010273,85-63539-0030,,,
2024-12-26 00:00:00,,,91E124120284,91-72215-050E,cExpress-KL-i7-7600U/TPM2.0/US,2024-12-26 00:00:00,,48,48,48,1.4,PASS,2024-12-23 00:00:00,(12/24),76.19999999999999,59E124120283,59-72215-050E,,,
