Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,第,18,週 生 產 計 畫,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
日期,,線別,製令單號,品號,品名,完工日,,工單數量,實際生產,SAP,包裝,進度,料齊日,備註：上製程來源時間,生產工時,上製程工單,料號,,,重要訂單
2025-07-28 00:00:00,,,,,,,,,,,,,,,6,,,,,
2025-07-25 00:00:00,,,91N125070373,91-72519-Y010,LEC-ASL-x7433RE-8G-64G-ER,2025-07-25 00:00:00,尾數,40,7,33,1.4,OK*7+NG*1,2025-07-21 00:00:00,(7/21*32)+(7/24*8),15.799999999999999,59N125070273,59-72519-Y020,39,,
2025-07-24 00:00:00,,,91E125070233,92-97217-500P,Barco RTX2000E Ada,2025-07-25 00:00:00,尾數,250,5,245,3.5,OK,2025-07-18 00:00:00,(7/21) 一箱5,23.5,85E125070233,92-97217-500T,,,
2025-07-24 00:00:00,,,91N125070396,92-24305-0110,C809M(R804),2025-07-28 00:00:00,,97,97,0,1.4,OK,2025-07-23 00:00:00,無卡,141.79999999999998,,,,,
2025-07-25 00:00:00,,,91N125080073,91-31426-0650,cPCI-6540/9850HL/M16-16,2025-07-28 00:00:00,,27,27,0,2,OK,2025-07-24 00:00:00,(7/22),60,85N125080073,85-31426-0650,,,
2025-07-25 00:00:00,,,91N125060364,91-77513-0040,ASH-ECAR-EVE-CF/16GB/BKM,2025-07-28 00:00:00,,120,120,0,1.7,OK,2025-07-24 00:00:00,(7/22) 一箱10,210,85N125070411,85-77513-0040,118,,
2025-07-25 00:00:00,,,91N125100070,91-72513-1120,LEC-EL-6211-8G-128G-TPM-ER,2025-07-28 00:00:00,,24,24,0,1.4,卡OK,2025-07-14 00:00:00,(7/22),39.599999999999994,59N125100070,59-72513-1120,,,
2025-07-28 00:00:00,,,91E125090069,91-95266-500E,WiFi kit - ENL-R8852BE/Igor,2025-07-28 00:00:00,,2,2,0,1.4,OK,2025-07-14 00:00:00,"7/28 PE-Ivy驗證,7/29接包裝 ,無卡",0,,,,,
2025-07-28 00:00:00,7/24,,91N125070493,91-95240-0010,STCII VESA Mounting Kit,2025-07-28 00:00:00,,1,1,0,1.4,OK,2025-07-25 00:00:00,無卡,7.4,,,,,
