Type,銷售文件類型,Save,Message,項目,排程明細號碼,ETD Date,專案代碼,上線日,訂單,物料,物料說明,規格,User Status,項目數量,收貨數量,系統料齊日,基本開始日期,基本完成日期,工單備註,備註(生管),DIP完工日,TEST上線日,料齊日(生管),責任單位(人工),逾期代碼,逾期說明,列印日期,已發料,Fin.iss,GMPS,料齊日(物管),未上線原因(生管),SRR申請單號,VVIP,VVIP2,綠色通道,儲存地點,MRP 控制員,MRP 控制員名稱,客戶名稱(人工),頂階成品品號(人工),Request Qty,訂單單號(人工),訂單單號項次(人工),OTD(PC),Rev,未上線原因,CRTD,REL,PDLV,DLV,確認指示碼,建立日期,前日料齊,Critical,缺料1,缺料2,缺料3,缺料4,缺料5,缺料6,缺料7,缺料8,缺料9,缺料10,MC Code,MC名稱,期望料齊日,最晚料齊日,實際開工日,實際完工日,備註(物管),頂階工單,工廠,SD 文件種類,SO 號碼,銷售訂單項目,客戶,名稱 1,預訂號碼,MRP 群組,產品階層,拔工單 Check(生管),OP確認OK(生管),原開工日期(生管),死棋料(生管),拔工單Remark(生管),收貨作業處理時間,Promise Date,齊套日期,瓶頸料,瓶頸料齊日,瓶頸料缺料,瓶頸料工單,Icon,Priority,訂單創建日期,是否可以委外加工,不可發包原因,PCB第一次生產,製件數,重點pullin,Series Alert,BU,VP
MO,59R1,Save,,0,0,2025-07-29 00:00:00,,2025-08-05 00:00:00,59R124110123,59-66053-0120,EVP-MB-ADL-Q670,(G),ZCHG,54,0,,2025-08-05 00:00:00,2025-09-25 00:00:00,"(C),(1) ECP-Erica, ECN-002761, 依重工指導書重工執行on board 更新, 完工入庫AY59",8/5接測,,,2024-11-25 00:00:00,,,,2025-06-23 00:00:00,,,,,,,false,,false,AY59,P11,ECP-陳彥呈,,,54,,0,,,,,X,,,,2024-11-19 00:00:00,,,,,,,,,,,,,M02,黃佳雯,,,,,,,1100,,,0,,,4507572,Z040,0031.0075.ECP002,false,false,,,,1,,,,,,,,,,,,,0,,,ECP,
MO,59T1,Save,,0,0,,,2025-07-07 00:00:00,59T125070043,59-76004-601E,Q7-AL-E3930-2G-16G-ER,(EA)REV:A2,ZREL,1,0,,2025-07-07 00:00:00,2025-08-15 00:00:00,產線借用當測具-Jenyi,,,,,,5.工程變更,產線借用當測具-Jenyi,2025-07-03 00:00:00,Y,X,X,,,,false,,false,AY59,P08,COM -EA2,,,0,,0,,A2,,,X,,,,2025-07-03 00:00:00,,,,,,,,,,,,,M05,蔡蕙心,,,2025-07-03 00:00:00,,,,1100,,,0,,,4820260,Z040,0026.0073.COM701,false,false,,,,1,,,,,,,,,,,,,0,,,COM,
MO,85R1,Save,,0,0,2025-07-29 00:00:00,,2025-03-19 00:00:00,85R125030107,85-38215-0020,PXES-2788/HP,"(G)(VA)PXIe 18-slot Gen3,1300W PSU,US/EU Cable",ZREL,17,0,2025-07-28 00:00:00,2025-03-19 00:00:00,2025-10-30 00:00:00,"(A),(9),IST-Emma,請依重工指導書內容作業,請更換版次,請執行標準測試",7/15接測-PE驗證Fail+4/24接測-測試異常,,,,,2.生產異常,4/24:測試異常Fail 版本顯示56 (正確是A3),2025-03-19 00:00:00,Y,,X,,,,false,,false,AY85,P03,IST-王啟典,,,0,,0,,,,,X,,,,2025-03-18 00:00:00,,,,,,,,,,,,,M09,李宛蓉,,,2025-03-20 00:00:00,,,,1100,,,0,,,4680468,Z040,0011.0027.ISTS11,false,false,,,,1,,,,,,,,,,,,,0,,,IST,
MO,85T1,Save,,0,0,,,2025-06-26 00:00:00,85T125070024,85-37622-012D,"VPX3-MXM/RTX5000,HDMI,non-COMM,ETT,CC",(G)(EOL),ZCHG,3,0,,2025-06-26 00:00:00,2025-07-31 00:00:00,"6/26~7/10 PE(Kyle)驗證,7/11接測",,,,,,5.工程變更,7/10 PE驗證Fail,2025-06-24 00:00:00,Y,X,X,,,,false,,false,AY85,P06,NCP-羅云禎,,,3,,0,,,,,X,,,,2025-06-24 00:00:00,,,,,,,,,,,,,M06,何淑貞,,,2025-06-25 00:00:00,,,,1100,,,0,,,4807617,Z040,0030.0039.VPX001,false,false,,,,1,,,,,,,,,,,,,0,,,DRC,
MO,85T1,Save,,0,0,2025-07-29 00:00:00,,2025-08-01 00:00:00,85T125080014,85-65019-1020,ESM+ with GPS,(G)(RCM),ZREL,1,0,,2025-08-01 00:00:00,2025-08-06 00:00:00,AY55重測,,,,2025-07-21 00:00:00,,,,2025-07-24 00:00:00,,,,,,,true,,false,AY85,P03,IST-王啟典,,,0,,0,,,,,X,,,,2025-07-16 00:00:00,,,,,,,,,,,,,M08,楊千儀,,,,,,,1100,,,0,,,4837942,Z040,0018.0042.NCPS50,false,false,,,,1,,,,,,,,,,,,,0,,@1V@,NCA,
MO,85T1,Save,,0,0,2025-07-29 00:00:00,,2025-08-01 00:00:00,85T125080020,85-65014-504E,ESM002 Shmm700,(*)(EA)(RCM),ZREL,4,0,,2025-08-01 00:00:00,2025-08-06 00:00:00,重測,,,,,,,,2025-07-25 00:00:00,,,,,,,true,,false,AY85,P03,IST-王啟典,,,3,,0,,,,,X,,,,2025-07-24 00:00:00,,,,,,,,,,,,,M08,楊千儀,,,,,,,1100,,,0,,,4849111,Z040,0018.0042.NCPS50,false,false,,,,1,,,,,,,,,,,,,0,,@1V@,NCA,
MO,91N1,Save,,0,0,2025-08-04 00:00:00,,2025-08-04 00:00:00,91N125100116,91-72132-1320,Express-DN7-C3708/4G/64G/CYMER,(G)PCB:A2,ZREL,2,0,2025-07-28 00:00:00,2025-08-04 00:00:00,2025-08-08 00:00:00,重測包裝,,,,2025-07-24 00:00:00,,,,2025-07-28 00:00:00,,,,,,,false,,false,AY91,P02,COM-陳佳菱,"Ampro ADLINK Technology, Inc.",91-72132-1320,0,,0,,,,,X,,,,2025-07-21 00:00:00,,,,,,,,,,,,,M12,蕭嘉欣,,,,,,91N125100116,1100,,,0,,,4841421,Z040,0026.0070.COM103,false,false,,,,1,,2025-07-28 00:00:00,,,,,,,,,,,0,,,COM,
MO,91R1,Save,,0,0,,,2025-07-16 00:00:00,91R125070116,91-77522-106E,ASH-CECAR-ARIS-CF-i3-8100H,(EA)(RCI)REV:A1,ZREL,450,100,2025-07-16 00:00:00,2025-07-16 00:00:00,2025-07-30 00:00:00,"(C)(4),MPM-Joanne,DEV-0054966,依重工指導書執行拆包裝+85階Sortinet ,不良品入AN77倉","7/16拆包裝,文件OK",,,,,,,2025-07-14 00:00:00,Y,X,X,,,,false,,false,AY91,P14,COM -EA1,,,350,,0,,,Gen10專案,,X,X,,,2025-07-14 00:00:00,,,,,,,,,,,,,M12,蕭嘉欣,,,2025-07-15 00:00:00,,,,1100,,,0,,,4834942,Z040,0026.0074.COM902,false,false,,,,1,,,,,,,,,,,,,0,,@1V@,COM,
MO,91T1,Save,,0,0,,,2025-06-27 00:00:00,91T125070025,91-65314-0250-10,cPCI-6636U4-3/6440E/M0-4,(*)(G)(RCI)A2,ZREL,1,0,,2025-06-27 00:00:00,2025-08-01 00:00:00,"產線借用當測具-Jenyi,測完後產線領出當測具",,,,,,5.工程變更,91-65314-0250-10,2025-06-24 00:00:00,Y,X,X,,,,false,,false,AY56,P06,NCP-羅云禎,,,1,,0,,,,,X,,,,2025-06-24 00:00:00,,,,,,,,,,,,,M06,何淑貞,,,2025-06-24 00:00:00,,,,1100,,,0,,,4807620,Z040,0030.0036.CPCI02,false,false,,,,1,,,,,,,,,,,,,0,,@1V@,DRC,
MO,91T1,Save,,0,0,,,2025-07-16 00:00:00,91T125070059,91-12419-10A0,AMP-204C,(G)PCB :,ZREL,1,0,,2025-07-16 00:00:00,2025-08-28 00:00:00,產線借用當測具-Jenyi,,,,,,5.工程變更,產線借用當測具-Jenyi,2025-07-14 00:00:00,Y,X,X,,,,false,,false,AY91,P07,STO-吳純靜,,,1,,0,,,,,X,,,,2025-07-14 00:00:00,,,,,,,,,,,,,M09,李宛蓉,,,2025-07-14 00:00:00,,,,1100,,,0,,,4834673,Z040,0012.0029.ISTS41,false,false,,,,1,,,,,,,,,,,,,0,,,IST,
MO,91T1,Save,,0,0,2025-08-04 00:00:00,,2025-08-01 00:00:00,91T125080018,91-31424-012E,cPCI-6940/D1539/M16-0/CETC32(EA)(RCI),(*)(EOL)A3,ZREL,2,0,,2025-08-01 00:00:00,2025-08-28 00:00:00,過保重測,8/5接測,,,,,,,2025-07-25 00:00:00,,,,,,,false,,false,AY91,P16,NCP,,,2,,0,,,,,X,,,,2025-07-24 00:00:00,,,,,,,,,,,,,M10,曾猷智,,,,,,,1100,,,0,,,4848655,Z022,0030.0036.CPCI02,false,false,,,,1,,,,,,,,,,,,,0,,@1V@,DRC,
MO,ZPR1,Save,,0,0,2025-07-29 00:00:00,,2025-07-29 00:00:00,ZPR125070178,59-44838-3A10,ABX-52ADL-MB-R680/HAL,(G),ZREL,1,0,,2025-07-29 00:00:00,2025-07-30 00:00:00,(9)簡易包裝,,,,2025-07-25 00:00:00,,,,2025-07-25 00:00:00,Y,,X,,,,false,,false,AY21,P07,STO-吳純靜,,,1,,0,,A2,,,X,,,,2025-07-25 00:00:00,,,,,,,,,,,,,M02,黃佳雯,,,2025-07-25 00:00:00,,,,1100,,,0,,,4849399,Z040,0032.0076.ECP104,false,false,,,,1,,,,,,,,,,,,,0,,,ECP,
MO,85E1,Save,,0,0,,02.91-67900-000E,2025-05-12 00:00:00,85E125010153,85-67900-000E,Philips DIMv2,(MD)(EA),ZCHG,105,0,2025-05-29 00:00:00,2025-05-12 00:00:00,2025-07-25 00:00:00,"DEV-0054135,#8874-Agnes，",重排6/24,,,2025-04-14 00:00:00,,2.生產異常,5/12 MPM-Perry通知移除(客供測具未承認),2025-03-27 00:00:00,Y,,X,,,,false,H,false,AY85,P07,STO-吳純靜,,,0,,0,,,,,X,,,,2024-11-25 00:00:00,,,,,,,,,,,,,M14,黃琇惠,,,2025-05-09 00:00:00,,,,1100,,,0,,,4513522,Z040,0021.0054.EVBU22,false,false,2025-02-27 00:00:00,37-10279-0000-A0&37-10280-0000-A0,37-10279-0000-A0&37-10280-0000-A0,1,,,,,,,,,,,,,0,,,EDGE VIZ,
MO,91E1,Save,,0,0,2025-08-05 00:00:00,02.91-67900-000E,2025-07-14 00:00:00,91E125010154,91-67900-000E,Philips DIMv2,(MD)(EA),ZCHG,105,0,,2025-07-14 00:00:00,2025-09-25 00:00:00,#8874-Agnes，,,,,2025-06-26 00:00:00,,6.客需變更,6/4 MPM-Perry通知待客戶確認SW,2025-05-09 00:00:00,Y,,X,,,,false,H,false,RY05,P07,STO-吳純靜,,,0,,0,,,,,X,,,,2024-11-25 00:00:00,,,,,,,,,,,,,M14,黃琇惠,,,2025-05-27 00:00:00,,,,1100,,,0,,,4513523,Z040,0021.0054.EVBU22,false,false,,,,1,,,,,,,,,,,,,0,,,EDGE VIZ,
MO,59R1,Save,,0,0,,03.93-P1500-222E,2025-07-22 00:00:00,59R125070139,59-A1033-1140,"SP2-IMX8-Q, 2GB, 32GB, 12-24V, CT, TPM",(G),ZREL,25,0,2025-07-22 00:00:00,2025-07-22 00:00:00,2025-08-18 00:00:00,(A)(1)EV-Agnes，ECN-003486,,,,2025-07-18 00:00:00,,,,2025-07-22 00:00:00,Y,X,X,,,,false,,false,AY59,P13,EV-鍾若妤,,,0,,0,,A2,,,X,,,,2025-07-18 00:00:00,,,,,,,,,,,,,M14,黃琇惠,,,2025-07-22 00:00:00,,,,1100,,,0,,,4838392,Z040,0020.0050.EVBU03,false,false,,,,1,,,,,,,,,,,,,0,,,EDGE VIZ,
MO,85N1,Save,,0,0,2025-07-29 00:00:00,03.M9537A-CFG007-1,2025-08-01 00:00:00,85N125030079,85-65506-60E0,M9537A-CFG007,(*)(G)(RCM),ZREL,5,0,2025-07-28 00:00:00,2025-08-01 00:00:00,2025-08-18 00:00:00,,yuki,,,2025-07-28 00:00:00,,,,2025-07-25 00:00:00,,,,,,,true,H,false,AY85,P03,IST-王啟典,Keysight Tech. Singapore (Sales) Pt,AG-M9537A-CFG007,0,1100023557,50,2025-03-27 00:00:00,,,,X,,,,2024-12-06 00:00:00,,,,,,,,,,,,,M08,楊千儀,,,,,07/07:被後面ZREL搶料,91N125030079,1100,C,,0,2,Keysight Tech. Singapore (Sales) Pt,4529840,Z040,0018.0042.NCPS50,false,false,,,,1,,8888-12-31 00:00:00,,,,,,,2024-11-13 00:00:00,,,,0,,@1V@,NCA,
MO,91N1,Save,,0,0,2025-08-05 00:00:00,03.M9537A-CFG007-1,2025-08-19 00:00:00,91N125030079,AG-M9537A-CFG007,M9537A-CFG007,"(*)(G)CB: A2, COM: A2",ZREL,5,0,2025-07-28 00:00:00,2025-07-14 00:00:00,2025-09-25 00:00:00,,,,,2025-08-18 00:00:00,,6.客需變更,第一日期延至7/23,,,,,,,,true,H,false,AY91,P03,IST-王啟典,Keysight Tech. Singapore (Sales) Pt,AG-M9537A-CFG007,0,1100023557,50,2025-03-27 00:00:00,,,,X,,,,2024-12-06 00:00:00,,,,,,,,,,,,,M08,楊千儀,,,,,,91N125030079,1100,C,,0,2,Keysight Tech. Singapore (Sales) Pt,4529839,Z041,0018.0042.NCPS50,false,false,,,,1,,8888-12-31 00:00:00,,,,,@5D@,,2024-11-13 00:00:00,N,BU,,0,,,NCA,
MO,85N1,Save,,0,0,,04.93-99780-850E-2,2025-07-23 00:00:00,85N125060305,85-7B003-1110,AmITX-CF-G-H310/Aurify,(*)(G),ZREL,7,0,2025-07-22 00:00:00,2025-07-23 00:00:00,2025-07-28 00:00:00,DEV-0053620(拆單:85N125040149*100+85N125040415*200)， 測32MIN，28/天,,,,2025-07-22 00:00:00,,2.生產異常,7/25 不良原因: 燒毀 ( SN: 2571100UUG ),2025-07-16 00:00:00,Y,,X,,,,false,M,false,AY85,P13,EV-鍾若妤,"Epic Tech, LLC",93-99780-850E,0,1100024278,10,2025-04-02 00:00:00,,,,X,,,,2025-04-25 00:00:00,,,,,,,,,,,,,M14,黃琇惠,,,2025-07-22 00:00:00,,,93E125040074,1100,C,,0,3993,"Epic Tech, LLC",4728276,Z040,0022.0056.EVBU42,false,false,,,,1,,2025-07-28 00:00:00,,,,,,,2024-12-11 00:00:00,,,,0,,,EDGE VIZ,
MO,85E1,Save,,0,0,,04.M9538-CFG001,2025-07-22 00:00:00,85E125040135,85-63547-003E,M9538A/M16,(EA),ZREL,10,0,2025-07-22 00:00:00,2025-07-22 00:00:00,2025-07-29 00:00:00,,,,,2025-07-21 00:00:00,,,,2025-07-18 00:00:00,Y,,X,,,,true,P,false,AY85,P15,IST,FSRR-0004431,AG-M9538-CFG001,0,FSRR-00044,0,,,,,X,,,,2025-02-14 00:00:00,,,,,,,,,,,,,M08,楊千儀,,,2025-07-21 00:00:00,,06/09:被後面ZREL搶料,85E125040134,1100,,,0,,,4630707,Z040,0011.0027.ISTS16,false,false,,,,1,,2025-07-22 00:00:00,,,,,,,,,,,0,,,IST,
MO,91E1,Save,,0,0,2025-08-01 00:00:00,04.M9538-CFG001,2025-07-29 00:00:00,91E125040122,AG-M9538-CFG001,M9538-CFG001,(EA) AXIe 1-slot controller,ZREL,10,0,,2025-07-29 00:00:00,2025-07-29 00:00:00,,,,,2025-07-29 00:00:00,,,,2025-07-18 00:00:00,Y,,X,,,,true,P,false,AY91,P15,IST,FSRR-0004431,AG-M9538-CFG001,0,FSRR-00044,0,2025-04-07 00:00:00,,,,X,,,,2025-02-14 00:00:00,,,,,,,,,,,,,M08,楊千儀,,,2025-07-25 00:00:00,,,91E125040105,1100,,,0,,,4628819,Z040,0011.0027.ISTS16,false,false,,,,1,,8888-12-31 00:00:00,,,,,,,,,,,0,,,IST,
MO,85E1,Save,,0,0,,04.M9538-CFG002,2025-07-22 00:00:00,85E125040123,85-63547-100E,M9538A/M64,(EA),ZREL,10,0,2025-07-23 00:00:00,2025-07-22 00:00:00,2025-07-30 00:00:00,,,,,2025-07-21 00:00:00,,,,2025-07-18 00:00:00,Y,,X,,,,true,P,false,AY85,P03,IST-王啟典,FSRR-0004431,AG-M9538-CFG002,0,FSRR-00044,0,2025-04-07 00:00:00,,,,X,,,,2025-02-14 00:00:00,,,,,,,,,,,,,M08,楊千儀,,,2025-07-21 00:00:00,,06/09:被後面ZREL搶料,91E125040106,1100,,,0,,,4628820,Z040,0011.0027.ISTS16,false,false,,,,1,,2025-07-28 00:00:00,,,,,,,,,,,0,,,IST,
MO,91E1,Save,,0,0,2025-08-01 00:00:00,04.M9538-CFG002,2025-07-30 00:00:00,91E125040124,AG-M9538-CFG002,M9538-CFG002,(EA) AXIe 1-slot controller,ZREL,10,0,2025-07-28 00:00:00,2025-07-30 00:00:00,2025-07-30 00:00:00,,,,,2025-07-30 00:00:00,,,,2025-07-23 00:00:00,Y,,X,,,,true,P,false,AY91,P03,IST-王啟典,FSRR-0004431,AG-M9538-CFG002,0,FSRR-00044,0,2025-04-07 00:00:00,,,,X,,,,2025-02-14 00:00:00,,,,,,,,,,,,,M08,楊千儀,,,2025-07-25 00:00:00,,,91E125040106,1100,,,0,,,4630561,Z040,0011.0027.ISTS16,false,false,,,,1,,2025-07-28 00:00:00,,,,,,,,,,,0,,,IST,
MO,85E1,Save,,0,0,,04.M9538-CFG003,2025-05-05 00:00:00,85E125040107,85-63547-200E,M9538A/M16/U.2,(EA),ZCHG,5,0,2025-05-29 00:00:00,2025-05-05 00:00:00,2025-08-26 00:00:00,DEV-0054550(原DEV-0054291取消),6/5重排,,,2025-05-02 00:00:00,,,,2025-04-30 00:00:00,Y,,X,,,SRR,true,P,false,AY85,P03,IST-王啟典,FSRR-0004431,AG-M9538-CFG003,0,FSRR-00044,0,2025-04-07 00:00:00,,,,X,,,,2025-02-10 00:00:00,,,,,,,,,,,,,M08,楊千儀,,,2025-05-02 00:00:00,,04/17:被後面ZREL搶料,91E125040107,1100,,,0,,,4622982,Z040,0011.0027.ISTS16,false,false,,,,1,,2025-07-28 00:00:00,,,,,,,,,,,0,,,IST,
MO,91E1,Save,,0,0,2025-07-31 00:00:00,04.M9538-CFG003,2025-07-07 00:00:00,91E125040107,AG-M9538-CFG003,M9538-CFG003,(EA) AXIe 1-slot controller,ZCHG,5,0,2025-07-28 00:00:00,2025-07-07 00:00:00,2025-08-26 00:00:00,,,,,2025-06-24 00:00:00,,5.工程變更,4/16 PCC-Emm通知客戶變更測試,2025-06-06 00:00:00,Y,,X,,,SRR,true,P,false,AY91,P03,IST-王啟典,FSRR-0004431,AG-M9538-CFG003,0,FSRR-00044,0,2025-04-07 00:00:00,,,,X,,,,2025-02-10 00:00:00,,,,,,,,,,,,,M08,楊千儀,,,2025-06-11 00:00:00,,,91E125040107,1100,,,0,,,4622861,Z040,0011.0027.ISTS16,false,false,,,,0,,2025-07-28 00:00:00,,,,,,,,,,,0,,,IST,
MO,85E1,Save,,0,0,,04.M9538-CFG004,2025-05-05 00:00:00,85E125040108,85-63547-300E,M9538A/M64/U.2,(EA),ZREL,5,2,2025-05-29 00:00:00,2025-05-05 00:00:00,2025-08-26 00:00:00,DEV-0054940+DEV-0054550(原DEV-0054291取消),6/3重排,,,2025-05-02 00:00:00,,5.工程變更,4/16 PCC-Emm通知客戶變更測試,2025-04-30 00:00:00,Y,,X,,,SRR,true,P,false,AY85,P03,IST-王啟典,FSRR-0004431,AG-M9538-CFG004,0,FSRR-00044,0,2025-04-07 00:00:00,,,,X,X,,,2025-02-10 00:00:00,,,,,,,,,,,,,M08,楊千儀,,,2025-05-02 00:00:00,,04/17:被後面ZREL搶料,91E125040108,1100,,,0,,,4622984,Z040,0011.0027.ISTS16,false,false,,,,1,,2025-07-28 00:00:00,,,,,,,,,,,0,,,IST,
