日期,Unnamed: 1,線別,Unnamed: 3,料號,Unnamed: 5,製令單號,DIP,品號,品名,上線日,完工日,料齊日,說明,工單數量,組裝,測試,交期,備註,入庫數量,進度,需求日,狀況1,狀況2
2025-04-24 00:00:00,,85test,,85-38215-0020,,85R125030107,,85-38215-0020,PXES-2788/HP,2025-04-24 00:00:00,2025-04-30 00:00:00,,,17,0,15,2025-04-30 00:00:00,4/30系統領,0,未測,2025-07-22 00:00:00,,測試異常
7/16~7/17,,85test,,85-38215-0020,,85R125030107,,85-38215-0020,PXES-2788/HP,7/16~7/17,2025-07-23 00:00:00,,PE(Jay Huang)驗證,17,5,15,2025-07-23 00:00:00,"7/16 PE(Jay Huang)驗證,7/17接測,7/23系統領",0,,2025-07-22 00:00:00,,PE驗證Fail
6/3~6/4,,85test,,85-19701-1120,,85N125050257,,85-19701-1120,EMU-200-W,6/3~6/4,2025-06-05 00:00:00,,PE(Jay Huang)驗證,10,0,7,2025-06-18 00:00:00,"6/3 PE(Jay Huang)驗證,6/4接測 ",0,確認異常進度,,,PE驗證Fail
6/26~7/11,,85test,,85-37622-012D,,85T125070024,,85-37622-012D,"VPX3-MXM/RTX5000,HDMI,non-COMM,ETT,CC",6/26~7/11,2025-07-11 00:00:00,,PE(Kyle)驗證,3,0,25,2025-07-11 00:00:00,"6/26~7/10 PE(Kyle)驗證,7/11接測,PCC-Ivy需求",0,,X,,PE驗證Fail
7/15~7/23,,59test,,59-72131-2470,,59N125060272,3F 7/11開始*250,59-72131-2470,Express-CF-i3-8100H/ARIS,7/15~7/23,2025-07-25 00:00:00,,"72131與72135共用,測具*4->8(雙機)",1600,0,5.25,2025-08-20 00:00:00,"85E125080039,測具4套",1077,待測*433,,,
2025-06-09 00:00:00,,85test,,59-7C002-0210,,59R125040069,,59-7C002-0210,EGX-MXM-RTX5000/VPX3-PL90W,2025-06-09 00:00:00,2025-06-13 00:00:00,,,7,0,6,2025-06-13 00:00:00,85N125060495,,Ivy領出*2(更新BIOS),2025-07-22 00:00:00,,
7/8~7/10,,85test,,85-65537-0120,,85N125060013,,85-65537-0120,NVR MB w/o PoE ports,7/8~7/10,2025-07-17 00:00:00,可用4套排測,測具*4(單機),456,0,15,2025-07-17 00:00:00,"7/17系統領,測具4->2套(重要訂單)",0,OK*18+Q*438,X,,DEV-0054930
7/14~7/17,,59test,,59-48104-0090,,59N125080128,7/11*260+7/14*140,59-48104-0090,UNP CM1-BT1-E3815,7/14~7/17,2025-07-18 00:00:00,,59-48104與85-48104 測具共用*2(單機),400,0,18,2025-08-29 00:00:00,"7/21接85N125080170(ETT),測具2套(重要訂單)",399,燒毀*1,2025-07-22 00:00:00,,
2025-07-18 00:00:00,,59test,,59-66046-4210,,59N125070304,2025-07-17 00:00:00,59-66046-4210,"EMP-510 w/Fan for(i5-1145G7E)_Lan*2,fTPM",2025-07-18 00:00:00,2025-07-21 00:00:00,,,10,0,10,2025-07-21 00:00:00,7/21系統領,0,OK*10,2025-08-05 00:00:00,,
2025-07-18 00:00:00,,59test,,59-66046-4210,,59T125070061,,59-66046-4210,"EMP-510 w/Fan for(i5-1145G7E)_Lan*2,fTPM",2025-07-18 00:00:00,2025-07-21 00:00:00,,,1,0,10,2025-07-21 00:00:00,7/21系統領,0,OK*1,2025-08-05 00:00:00,,
7/21~7/25,,59test,,59-72222-102E,,59E125060117,55-72222-102E OK,59-72222-102E,cExpress-RLP-i3-13300HRE-16G,7/21~7/25,2025-07-28 00:00:00,,PE(Alan)驗證,10,0,20,2025-08-06 00:00:00,"7/21~7/29 PE(Alan)驗證,7/31接測",0,,,,
7/21~7/25,,59test,,59-72222-203E,,59E125070202,55-72222-203E  OK,59-72222-203E,cExpress-RLP-i3-1320PRE-16G,7/21~7/25,2025-07-28 00:00:00,,PE(Alan)驗證,10,0,20,2025-08-06 00:00:00,"7/21~7/29 PE(Alan)驗證,7/31接測",0,,,,
7/21~7/25,,59test,,59-72222-301E,,59E125070133,55-72222-301E  OK,59-72222-301E,cExpress-RLP-i7-1365URE-16G,7/21~7/25,2025-07-28 00:00:00,,PE(Alan)驗證,12,0,20,2025-08-06 00:00:00,"7/21~7/29 PE(Alan)驗證,7/31接測",0,,,,
7/21~7/29,,59test,,59-72512-131E,,59E125100005,55-72512-131E 7/18,59-72512-131E,LEC-iMX8MP-Q-N-4G-32G-BW-ER/ALCOM,7/21~7/29,2025-07-30 00:00:00,,PE(Bohung)驗證,10,0,8.5,2025-08-07 00:00:00,"7/21~7/28 PE(Bohung)驗證,7/29接測",0,,,,
2025-07-21 00:00:00,,59test,,59-72516-4030,,59E124110315,55-72516-4030 OK,59-72516-4030,LEC-MTK-I1200-4G-64G-BW-CT,2025-07-21 00:00:00,2025-07-30 00:00:00,,PCC-Claier告知不需驗證,15,0,18,2025-07-30 00:00:00,PCC-Claire需求,,Q*1,2025-07-30 00:00:00,,
7/21~7/23,,59test,,59-A1034-200E,,59E125070248,55-A1034-200E 7/18,59-A1034-200E,EMP-100-J6412 CPU Board Verint,7/21~7/23,2025-07-28 00:00:00,,PE(Byron)驗證,20,0,15,2025-07-28 00:00:00,"7/21~7/22 PE(Byron)驗證,7/23接測,7/28系統領",,,,,
2025-07-21 00:00:00,,85test,,85-R1002-1010,,85N125060427,55-R1003-1010 OK+55-R1002-1010 7/17,85-R1002-1010,"ROScube-X, w/AD-GMSL2, RQX-59G",2025-07-21 00:00:00,2025-07-22 00:00:00,,,4,0,16,2025-07-22 00:00:00,7/22系統領,,VI*1,X,,
2025-07-21 00:00:00,,85test,,85-A1021-0520,,85N125070361,55-A1021-0520+55-A2050-2020 7/17,85-A1021-0520,VETSCAN HUB Board Assembly/F,2025-07-21 00:00:00,2025-07-23 00:00:00,,,30,0,15.5,2025-07-23 00:00:00,7/23系統領,,OK*30,2025-07-28 00:00:00,,
7/22~7/28,,85test,,85-37622-043D,,85N125060495,ETT+Coating,85-37622-043D,"VPX3-MXM/RTX5000,DP,SOSA,non-COMM,ETT,CC",7/22~7/28,2025-07-30 00:00:00,PP-ETT-4070,ETT測具*2,3,5,20,2025-08-07 00:00:00,"RD驗證測試：7/22~7/28,7/29轉ETT",0,,,,
