Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,日期,2025-04-01 00:00:00,Unnamed: 24,2025-04-02 00:00:00,Unnamed: 26,2025-04-03 00:00:00,Unnamed: 28,2025-04-04 00:00:00,Unnamed: 30,2025-04-05 00:00:00,Unnamed: 32,2025-04-06 00:00:00,Unnamed: 34,2025-04-07 00:00:00,Unnamed: 36,2025-04-08 00:00:00,Unnamed: 38,2025-04-09 00:00:00,Unnamed: 40,2025-04-10 00:00:00,Unnamed: 42,2025-04-11 00:00:00,Unnamed: 44,2025-04-12 00:00:00,Unnamed: 46,2025-04-13 00:00:00,Unnamed: 48,2025-04-14 00:00:00,Unnamed: 50,2025-04-15 00:00:00,Unnamed: 52,2025-04-16 00:00:00,Unnamed: 54,2025-04-17 00:00:00,Unnamed: 56,2025-04-18 00:00:00,Unnamed: 58,2025-04-19 00:00:00,Unnamed: 60,2025-04-20 00:00:00,Unnamed: 62,2025-04-21 00:00:00,Unnamed: 64,2025-04-22 00:00:00,Unnamed: 66,2025-04-23 00:00:00,Unnamed: 68,2025-04-24 00:00:00,Unnamed: 70,2025-04-25 00:00:00,Unnamed: 72,2025-04-26 00:00:00,Unnamed: 74,2025-04-27 00:00:00,Unnamed: 76,2025-04-28 00:00:00,Unnamed: 78,2025-04-29 00:00:00,Unnamed: 80,2025-04-30 00:00:00,Unnamed: 82,2025-05-01 00:00:00,Unnamed: 84
,,,,,,,SAP上線日,,,,,,,,,,,,,,,星期,45748,,45749,,45750,,45751,,45752,,45753,,45754,,45755,,45756,,45757,,45758,,45759,,45760,,45761,,45762,,45763,,45764,,45765,,45766,,45767,,45768,,45769,,45770,,45771,,45772,,45773,,45774,,45775,,45776,,45777,,45778,
開單日,線別,製程,工單號,品號,品名,MO數量,領料需求日,上線日,完工日,料齊日,重工完工數量,實際產出,備註,板卡來源,PE驗證,這筆製程單機工時,這筆生產所用工時,測具數量,加班時數,重要訂單,綠色通道,頂階完工,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時
,下拉式選項,下拉式選項,ZPPR004,ZPPR004,ZPPR004,ZPPR004,ZPPR004,人工手動,ZPPR004,ZPPR004,人工手動,ZPPR004,人工手動,人工手動,人工手動,PSOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,一般重工,59R125040086,59-66942-0020,Capsule Axon 2 Mainboard,94,2025-04-14 00:00:00,2025-04-23 00:00:00,,2025-04-14 00:00:00,,,(A)(8)04-09705-0P00混料,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,350,44,308,,,,,,,,,,,,,,
,,BGA,55R125040108,55-76004-2060,Q7-AL-E3950-8G-32G-ER,2,2025-04-22 00:00:00,2025-04-24 00:00:00,,2025-04-22 00:00:00,,,"(B*1), (2) COM-Claire, DEV-0054122, 驗證EOL eMMC替代料, 重工完後入庫AN77",,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,120,,,,,,,,,,,,,,
,,BGA,55R125040083,55-38220-001E,PXIe-9908_DB,5,2025-04-22 00:00:00,2025-04-24 00:00:00,,2025-04-21 00:00:00,,,"(B*1),(4),IST-Elsa,請依重工指導書內容作業",,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,60,,,,,,,,,,,,,,
,,BGA,55R125040116,55-72508-211E,LEC-PX30-Q-2G-16G-R/GEA,2,2025-04-22 00:00:00,2025-04-25 00:00:00,,2025-04-22 00:00:00,,,"(B*1), (2) COM-Claire,DEV-0054172 材料BU提供, 驗證EOL替代料, 重工完後入庫AN77倉BU領出",,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,120,,,,,,,,,,,,
,,BGA,59R125040074,59-72517-221E,LEC-iMX8MM-Q-4G-64G-ER/JCI,2,2025-04-22 00:00:00,2025-04-28 00:00:00,,2025-04-22 00:00:00,,,"(B*1), (2) COM-Claire, DEV-0053928, 驗EOL替代料, 依重工指導書重工, 不執行標準測試, 重工完後入庫AN77",,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,120,,,,,,
,,BGA,55R125040125,55-72513-402E,LEC-EL-6425E-4G-64G-ER,2,2025-04-23 00:00:00,2025-04-28 00:00:00,,2025-04-23 00:00:00,,,"(B*1), (2) COM-Claire,DEV-0054194 材料BU提供, 驗證EOL eMMC替代料, 重工完後入庫AN77倉BU領出",,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,120,,,,,,
,,BGA,55R125040128,55-72513-C010,LEC-EL-6425E-4G-64G-CT,2,2025-04-23 00:00:00,2025-04-28 00:00:00,,2025-04-23 00:00:00,,,"(B*1), (2) COM-Claire, DEV-0054198, 驗證EOL eMMC替代料, 重工完後入庫AN77倉BU領走",,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,120,,,,,,
