Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,2025-07-01 00:00:00,Unnamed: 24,2025-07-02 00:00:00,Unnamed: 26,2025-07-03 00:00:00,Unnamed: 28,2025-07-04 00:00:00,Unnamed: 30,2025-07-05 00:00:00,Unnamed: 32,2025-07-06 00:00:00,Unnamed: 34,2025-07-07 00:00:00,Unnamed: 36,2025-07-08 00:00:00,Unnamed: 38,2025-07-09 00:00:00,Unnamed: 40,2025-07-10 00:00:00,Unnamed: 42,2025-07-11 00:00:00,Unnamed: 44,2025-07-12 00:00:00,Unnamed: 46,2025-07-13 00:00:00,Unnamed: 48,2025-07-14 00:00:00,Unnamed: 50,2025-07-15 00:00:00,Unnamed: 52,2025-07-16 00:00:00,Unnamed: 54,2025-07-17 00:00:00,Unnamed: 56,2025-07-18 00:00:00,Unnamed: 58,2025-07-19 00:00:00,Unnamed: 60,2025-07-20 00:00:00,Unnamed: 62,2025-07-21 00:00:00,Unnamed: 64,2025-07-22 00:00:00,Unnamed: 66,2025-07-23 00:00:00,Unnamed: 68,2025-07-24 00:00:00,Unnamed: 70,2025-07-25 00:00:00,Unnamed: 72,2025-07-26 00:00:00,Unnamed: 74,2025-07-27 00:00:00,Unnamed: 76,2025-07-28 00:00:00,Unnamed: 78,2025-07-29 00:00:00,Unnamed: 80,2025-07-30 00:00:00,Unnamed: 82,2025-07-31 00:00:00,Unnamed: 84,2025-08-01 00:00:00,Unnamed: 86
,,,,,,,,,,,,,,,,,,,,,,,45839,,45840,,45841,,45842,,45843,,45844,,45845,,45846,,45847,,45848,,45849,,45850,,45851,,45852,,45853,,45854,,45855,,45856,,45857,,45858,,45859,,45860,,45861,,45862,,45863,,45864,,45865,,45866,,45867,,45868,,45869,,45870,
開單日,線別,製程,工單號,品號,品名,MO數量,領料需求日,上線日,完工日,料齊日,重工完工數量,實際產出,備註,板卡來源,PE驗證,這筆製程單機工時,這筆生產所用工時,測具數量,加班時數,重要訂單,綠色通道,頂階完工,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時
,下拉式選項,下拉式選項,ZPPR004,ZPPR004,ZPPR004,ZPPR004,ZPPR004,人工手動,ZPPR004,ZPPR004,人工手動,ZPPR004,人工手動,人工手動,人工手動,PSOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,一般重工,55R125070006,55-72215-070W,cExpress-KL-i7-7600U/BTKN,112,2025-07-03 00:00:00,2025-07-04 00:00:00,,2025-07-03 00:00:00,,,"(A),(9),COM-Cindy#8585,水洗製程 接外包水洗PO: 3170004979-00010(AN77倉),依重工指導書重工,重工完入AY55倉",,,10,,,,,,,,,,,,,70,700,,,,,42,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,一般重工,91R125070004,91-14096-5030,SDAQ-204,10,2025-06-30 00:00:00,2025-06-30 00:00:00,,2025-06-30 00:00:00,,,"(A),(5)IST-Elsa,庫存改機,For訂單91-14096-7010改機為91-14096-5030,依重工指導書重工,標準測試",,,10,,,,,,,10,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,一般重工,91R125070026,91-18903-0020,PCIe-8638,10,2025-07-07 00:00:00,2025-07-08 00:00:00,,2025-07-07 00:00:00,,,"(A)(2),ITS-Emma#8010,DEV-0054774,依重工指導書執行,標準測試",,,10,,,,,,,,0,,,,,,,,,,,10,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,一般重工,59R125070041,59-32211-0010,FM-400/AVA-1000 front panel board,8,2025-07-01 00:00:00,2025-07-02 00:00:00,,2025-07-01 00:00:00,,,"(A)(1),DRC-Ivy#8920,過C4,更換版次標籤,Change egineering verisionlable,PN-192687",,,10,,,,,,,,,8,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BGA,85R125060099,85-72128-4350,ASH-SL-i3-6100E/S4G/JRC-ETT,7,2025-06-30 00:00:00,2025-07-01 00:00:00,,2025-06-30 00:00:00,,,"(B*1)(8)TPMC異常.更換71-00170-02Z0,位置PCH1,執行標準測試",,,60,,,,,,,7,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BGA,55R125070045,55-72402-1060,LEC-BT4-C1-2G-4G-ER,2,2025-07-01 00:00:00,2025-07-02 00:00:00,,2025-06-27 00:00:00,,,"(B*1)(2),COM-Claire#8882,DEV-0054817,驗證EOL替代料,依重工指導書執行,完工後入AN77倉BU領出",,,60,,,,,,,,,2,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BGA,55R125070044,55-76002-4070Z,Q7-BT25-C1-2G-4G-ER,2,2025-07-08 00:00:00,2025-07-09 00:00:00,,2025-07-08 00:00:00,,,"(B*1)(2),COM-Claire#8882,DEV-0054816,驗證EO替代料,依重工指導書執行,完工後入AN77倉BU領出",,,60,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
