Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,日期,2025-03-01 00:00:00,Unnamed: 24,2025-03-02 00:00:00,Unnamed: 26,2025-03-03 00:00:00,Unnamed: 28,2025-03-04 00:00:00,Unnamed: 30,2025-03-05 00:00:00,Unnamed: 32,2025-03-06 00:00:00,Unnamed: 34,2025-03-07 00:00:00,Unnamed: 36,2025-03-08 00:00:00,Unnamed: 38,2025-03-09 00:00:00,Unnamed: 40,2025-03-10 00:00:00,Unnamed: 42,2025-03-11 00:00:00,Unnamed: 44,2025-03-12 00:00:00,Unnamed: 46,2025-03-13 00:00:00,Unnamed: 48,2025-03-14 00:00:00,Unnamed: 50,2025-03-15 00:00:00,Unnamed: 52,2025-03-16 00:00:00,Unnamed: 54,2025-03-17 00:00:00,Unnamed: 56,2025-03-18 00:00:00,Unnamed: 58,2025-03-19 00:00:00,Unnamed: 60,2025-03-20 00:00:00,Unnamed: 62,2025-03-21 00:00:00,Unnamed: 64,2025-03-22 00:00:00,Unnamed: 66,2025-03-23 00:00:00,Unnamed: 68,2025-03-24 00:00:00,Unnamed: 70,2025-03-25 00:00:00,Unnamed: 72,2025-03-26 00:00:00,Unnamed: 74,2025-03-27 00:00:00,Unnamed: 76,2025-03-28 00:00:00,Unnamed: 78,2025-03-29 00:00:00,Unnamed: 80,2025-03-30 00:00:00,Unnamed: 82,2025-03-31 00:00:00,Unnamed: 84
,,,,,,,SAP上線日,,,,,,,,,,,,,,,星期,45717,,45718,,45719,,45720,,45721,,45722,,45723,,45724,,45725,,45726,,45727,,45728,,45729,,45730,,45731,,45732,,45733,,45734,,45735,,45736,,45737,,45738,,45739,,45740,,45741,,45742,,45743,,45744,,45745,,45746,,45747,
開單日,線別,製程,工單號,品號,品名,MO數量,領料需求日,上線日,完工日,料齊日,重工完工數量,實際產出,備註,板卡來源,PE驗證,這筆製程單機工時,這筆生產所用工時,測具數量,加班時數,重要訂單,綠色通道,頂階完工,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時
,下拉式選項,下拉式選項,ZPPR004,ZPPR004,ZPPR004,ZPPR004,ZPPR004,人工手動,ZPPR004,ZPPR004,人工手動,ZPPR004,人工手動,人工手動,人工手動,PSOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BU缺料,BGA,55R125030025,55-72512-141E,LEC-iMX8MP-Q-N-8G-32G-BW-ER/Carrier,2,2025-03-04 00:00:00,2025-03-06 00:00:00,,2025-03-03 00:00:00,,,"(B),(2), COM-Claire, DEV-0053709,客人要驗證eMLC (BU供料), 依重工指導書重工, 不須標準測試, 板卡領用59-72512-141E (RY05), 重工成55-72512-141E入庫AN77 BU領走",,,120,,,,,,,,,,,,,,0,,0,2,240,,0,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,
,93入AN77,一般重工,85R125030107,85-38215-0020,PXES-2788/HP,17,2025-03-19 00:00:00,,,2025-03-25 00:00:00,,,"(A),(9),IST-Emma,請依重工指導書內容作業,請更換版次,請執行標準測試",,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,0,,0,,,,,,,,
,,加工別,55E125020265,55-65531-105E,CSA-7211 MB C627,9,2025-03-27 00:00:00,2025-03-28 00:00:00,,2025-03-25 00:00:00,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,90,,,,
,,加工別,55E125020266,55-65531-006E,CSA-7211 MB C621,19,2025-03-27 00:00:00,2025-03-28 00:00:00,,2025-03-25 00:00:00,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,19,190,,,,
,,一般重工,85R125040013,85-A1027-3A0E,"SP-TGL,i5,PCAP,12V,TPM/MLC-M/Full IO RW",40,2025-03-25 00:00:00,2025-03-31 00:00:00,,2025-03-20 00:00:00,,,(A)(5)EV-Agnes，85組/測/跳線，依重工指導書重工,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,,,,40,1000
,,一般重工,55R125030147,55-AA501-0010,SB-GUV1,4,2025-04-25 00:00:00,2025-04-28 00:00:00,,2025-03-27 00:00:00,,,DEV-0053959 (A)(4)EV-Maggie， 依重工指導書重工,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,40,,,,,,
,,一般重工,55R125030152,55-66058-001E,JCI SC-Connect Carrier Board,4,2025-04-25 00:00:00,2025-04-28 00:00:00,,2025-03-25 00:00:00,,,"(A),(4) COM-Winnie, 因料件:61-00000-118M方向打反向, 故需依重工指導書重工, 重工料由BU提供, 板卡領用AY55*3+AN77*1(預留單:0004688983-0001), 重工完後入庫AN77",,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,40,,,,,,
,,一般重工,91R125030149,91-72215-0610,cExpress-KL-i7-7600U/TPM/ACAL,1,2025-03-25 00:00:00,2025-03-28 00:00:00,,2025-03-25 00:00:00,,,"(1)(A)COM-Cindy,過C4,更換版次標籤,Change egineering verision lable,PN-190422",,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,,,,,,
,,BGA,85R125030154,85-48106-0070,CM4-SL2-WiTronix,11,2025-03-26 00:00:00,2025-03-28 00:00:00,,2025-03-26 00:00:00,,,"(B)*1,(8) TPMC不良,更換:71-06102-00Z0 位置:CPU1",,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,11,660,,,,,,
,,一般重工,55R125030125,55-72222-300E,cExpress-RLP-i7-1365URE-8G,1,2025-03-21 00:00:00,2025-03-24 00:00:00,,2025-03-21 00:00:00,,,"(A),(9) COM-Cindy,依重工指導書重工,重工後入AN77",,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,,,,0,,0,,,,,,,,
,,BGA,91R125030130,91-72135-6320,Express-CFR-E-2254ML/TPM2.0/CWC,1,2025-03-24 00:00:00,2025-03-26 00:00:00,,2025-03-24 00:00:00,,,"(B*1)(1)Com-Cindy,ECN-002980,依重工指導書重工, 標準測試",,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,60,,0,,,,,,,,
,,一般重工,85R125030131,85-32208-0010,ADM-AL30 Power board,3,2025-03-24 00:00:00,2025-03-26 00:00:00,,2025-03-24 00:00:00,,,"(A),(1) NCA-Chloe,PN-188332,C4,換標籤",,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,30,,0,,,,,,,,
