Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,修改,First,線別,VIP,製令單號,品名,品號,版次,預計完工日,料齊日,實際生產,MO數量,反面,正面,SMT C.T(sec.),生產工時(min),換線工時(min),總工時(min),上線日,Unnamed: 24,上線時間,結束時間,備註,連板,Initail,Unnamed: 30,重要工單,特採單號
,,,,,,,,,第4班開線,,,,,,,,,,,,,90,,,,,,,,,,
,,,,,3/11,,B,,55E125030359,Aristocrat Gen10 Backplane,55-79030-004E,A3,4/11,3/17,520,,0,18,18,156,40,196,2025-04-01 00:00:00,,,,Kim,1,2025-02-20 00:00:00,,重要工單,
,,,,,3/31,,B,,59N125030162,SB-DFL1,59-AA500-0010,A1,4/10,3/5,40,,0,25,25,16.666666666666668,60,85,2025-04-01 00:00:00,,,,,2,2025-02-25 00:00:00,,,
,,,,,,,B,,55N125040009,NVR MB,55-65537-0020,A2,4/2,3/19,150,,71,112,183,457.5,40,497.5,2025-04-01 00:00:00,,,,,1,2025-02-20 00:00:00,,,
,,,,,3/31,,B,,59N125030385,EGX-MXM-T1000/Align,59-7C003-A020,A2,4/7,3/28,280,,39.5,35.5,75,350,40,390,2025-04-01 00:00:00,,,,純SMT,2,2025-03-18 00:00:00,,,
,,,,,3/31,,B,,59N125030229,EGX-MXM-T1000/Adlink logo,59-7C003-0040,A2,4/8,3/28,100,360,41,32,73,121.66666666666667,40,161.66666666666669,2025-04-01 00:00:00,,,,純SMT,2,2025-03-18 00:00:00,,,
,,,,,,,,,,,,,,,,,,,,,,1420.1666666666667,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,開線,,,,,,,,,,,,,30,,,,,,,,,,
,,,,,3/12,,A,,55E125030299,LEC-iMX8MP-Q-2G-32G-ER,55-72512-202E,A2,4/2,3/31,6,,35,25.5,60.5,6.05,60,85,2025-04-01 00:00:00,,,,"Claire,純SMT",2,2025-03-11 00:00:00,,,
,,,,,,,A,,59N125040187,nanoX-BT-E3845-2G,59-72304-00C0,A5,4/8,3/31,62,,31,30,61,63.03333333333333,40,103.03333333333333,2025-04-01 00:00:00,,,,純SMT(4/2上午接測),2,2025-02-22 00:00:00,,,
,,,,,,,A,,59N125040175,t1cExpress-TL-i7-1185GRE-HTS-cTL-BT/BEL,59-72218-4310,A3,4/10,3/31,62,,43,46,89,91.96666666666667,40,131.96666666666667,2025-04-01 00:00:00,,,,純SMT(4/2上午接測),2,2025-03-11 00:00:00,,,
,,,,,,,A,,59N125050072,Express-SL-i7-6820EQ/Kohala,59-72128-0290,A2,4/9,3/31,20,,76,33,109,36.333333333333336,60,96.33333333333334,2025-04-01 00:00:00,,,,純SMT(4/2上午接測),2,2025-03-02 00:00:00,,,
,,,,,3/31,,A,,55N125040038,USB_FM_Zoetis/F,55-A2050-2010,A3,4/11,3/17,244,,13,12,25,101.66666666666667,40,141.66666666666669,2025-04-01 00:00:00,,,,,2,2025-02-25 00:00:00,,重要工單,
,,,,,3/18,,A,,59N125040117,cPCI-A3535ND2,59-31130-0120,A2,4/8,3/31,150,,50,38,88,220,40,260,2025-04-01 00:00:00,,,,,2,2025-02-22 00:00:00,,,
,,,,,3/12,,A,,59N125020472,UNP Express-BASE,59-46604-00J0,1D2,4/10,3/31,138,,0,51.77,51.77,119.071,40,159.071,2025-04-01 00:00:00,,,,,1,2025-03-11 00:00:00,,,
,,,,,3/11,,A,,55N125040299,SEMI-MF xBP-3019A,55-33323-2030,C2,4/8,3/14,6,,16,43,59,5.9,60,85,2025-04-01 00:00:00,,,,,1,2025-03-02 00:00:00,,重要工單,
,,,,,,,A,,55N125030434,cExpress-AR-V2516/MET,55-72219-3310,A2,4/2,3/31,10,,45,43,88,14.666666666666666,60,85,2025-04-01 00:00:00,,,,純SMT,2,2025-03-11 00:00:00,,,
,,,,,,,A,,59N125040169,t2cExpress-SL-i7-6600U/Datasol,59-72213-0340,B1,4/7,3/31,10,,59,28,87,14.5,60,85,2025-04-01 00:00:00,,,,純SMT,2,2025-02-22 00:00:00,,,
,,,,,,,A,,55N125030253,SEMI-MF AG-M9537A,55-65506-0090,A3,4/2,3/25,41,,57.52,87.5,145.02,99.09700000000001,40,139.097,2025-04-02 00:00:00,,,,,1,2025-02-11 00:00:00,,重要工單,
,,,,,,,,,,,,,,,,,,,,,,1401.168,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,E,,5F轉3F試產,,,,,,,,,,,0,,480,,,,,,,,,,
,,,,,,,E,,59N125030529,NVR LED board,59-65A71-0010,A1,4/9,3/11,30,,7,8.5,15.5,7.75,50,57.75,2025-04-01 00:00:00,,,,3F首次試產,5,2025-03-18 00:00:00,,,
,,,,,,,E,,59N125030530,EGX-MXM-T1000/Align,59-7C003-A020,A2,4/9,3/31,30,,39.5,35.5,75,37.5,50,87.5,2025-04-01 00:00:00,,,,"3F首次試產,純SMT",2,2025-03-18 00:00:00,,,
,,,,,,,,4/1,,,,,,,,,,,Total,,,625.25,,,,,,,,,,
