Day(hr),11,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
OEE,0.8,,,,,,,,Remark,,,,,,,,,,,,,
Base (sec),8.5,,,,,,,,每日開班工時(hr),11,11,11,11,6.5,,,,0.9750000000000001,,,,
,,,,,,,,,,,,,,,,,,,,,,
BU,縮寫,料號Type,料號,品名,"權重-
base","SMT(sec) - 
base","SMT(sec) - 
8/27",投片數-11hr,"(pcs/hr)-
11/13版本",Mon,Tue,Wed,Thu,Fri,1週產能,4週產能,平均1天產能(K),模擬(Qty),工時,投片數-8hr,,
Base (sec),,,,,1,8.5,8.5,3727.058823529412,338.8235294117647,3727.0588235294117,3727.0588235294117,3727.0588235294117,3727.0588235294117,2202.3529411764707,17110.58823529412,68442.35294117648,3.422117647058824,,,,,
NCA,CDC,55-65647-00*,55-65647-000E,ADM-Q55,23.235294117647058,197.5,197.5,160.40506329113924,14.58227848101266,160.40506329113924,160.40506329113924,160.40506329113924,160.40506329113924,94.78481012658229,736.4050632911393,2945.620253164557,0.14728101265822788,,0,116.65822784810128,,
DRC,AG10,55-77522-00*,55-77522-003E,Aristocrat Gen10 Carrier,13,76,76,450,40.90909090909091,450,450,450,450,265.9090909090909,2065.909090909091,8263.636363636364,0.4131818181818182,30,0.7333333333333334,327.27272727272725,,測試240/天
DRC,AG10,55-79028-00*,55-79028-0010,Aristocrat Gen10 Config stick,1.7694117647058822,15.04,15.04,1700,154.54545454545453,1699.9999999999998,1699.9999999999998,1699.9999999999998,1699.9999999999998,1004.5454545454545,7804.545454545454,31218.181818181816,1.5609090909090908,,0,1236.3636363636363,,
DRC,AG10,59-72131-24*,59-72131-2470,Express-CF-i3-8100H/ARIS,11,89,89,450,40.90909090909091,450,450,450,450,265.9090909090909,2065.909090909091,8263.636363636364,0.4131818181818182,,0,327.27272727272725,,測試240/天
Car,C120,91-E0037-00*,91-E0037-0010,C120UAA01.1,3.176470588235294,27,27,1173.3333333333335,106.66666666666669,1173.3333333333335,1173.3333333333335,1173.3333333333335,1173.3333333333335,693.3333333333335,5386.666666666668,21546.66666666667,1.0773333333333335,,0,853.3333333333335,,
DT,S01,91-E0042-00*,91-E0042-0010,M315QVR01.0-55.31M05.S01,1,8.5,8.5,3727.058823529412,338.8235294117647,3727.0588235294117,3727.0588235294117,3727.0588235294117,3727.0588235294117,2202.3529411764707,17110.58823529412,68442.35294117648,3.422117647058824,,0,2710.5882352941176,,
DT,S02,91-E0043-00*,91-E0043-0010,M315QVR01.0-55.31M05.S02,1,8.5,8.5,3727.058823529412,338.8235294117647,3727.0588235294117,3727.0588235294117,3727.0588235294117,3727.0588235294117,2202.3529411764707,17110.58823529412,68442.35294117648,3.422117647058824,,0,2710.5882352941176,,
