Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BU,縮寫,料號,品名,2025-07-01 00:00:00,2025-07-02 00:00:00,2025-07-03 00:00:00,2025-07-04 00:00:00,2025-07-05 00:00:00,2025-07-06 00:00:00,2025-07-07 00:00:00,2025-07-08 00:00:00,2025-07-09 00:00:00,2025-07-10 00:00:00,2025-07-11 00:00:00,2025-07-12 00:00:00,2025-07-13 00:00:00,2025-07-14 00:00:00,2025-07-15 00:00:00,2025-07-16 00:00:00,2025-07-17 00:00:00,2025-07-18 00:00:00,2025-07-19 00:00:00,2025-07-20 00:00:00,2025-07-21 00:00:00,2025-07-22 00:00:00,2025-07-23 00:00:00,2025-07-24 00:00:00,2025-07-25 00:00:00,2025-07-26 00:00:00,2025-07-27 00:00:00,2025-07-28 00:00:00,2025-07-29 00:00:00,2025-07-30 00:00:00,2025-07-31 00:00:00
,DRC,AG10,55-77522-002E,Aristocrat Gen10 Carrier,,,,,,,,,,,,,,,,,450,450,,,450,450,450,450,450,,,450,450,,
,DRC,AG10,59-72131-2470,Express-CF-i3-8100H/ARIS,,200,450,450,250,,50,,,450,450,,,450,250,,,,,,,,,,,,,,,,
,DRC,AG10,55-79028-0010,Aristocrat Gen10 Config stick,,,,,,,1600,1168,,,,,,,,770,,,,,,,,,,,,,,,
,COM,LEC,59-72501-0220Z,LEC-iMX64-C5-2G-4G-ER,680,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EV,Zoetis,55-A1021-0520,"SP-AL,E3930,PCAP,12V,eDP,TPM",,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,
,EV,Zoetis,55-A2050-2020,USB_FM_Zoetis/F,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,
,NCA,CDC 2.0,55-65649-002E,ADM-Q55LX Main Board,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,
,NCA,CDC 2.0,55-65A75-002E,ADM-Q55LX Daughter Board,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,
