品號,版次,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
55-11001-0040,B2,55-11001B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-11020-0060,A1,55-11020A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-12001-00E0,C2,55-12001C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-12022-100E,A1,55-12022A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-12203-002,A2,55-12203A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-12203-0020,A2,55-12203A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-12254-0090,A3,55-12254A3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-12254-1090,A3,55-12254A3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-12254-2090,A3,55-12254A3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-12254-3090,A3,55-12254A3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-12256-00D0,D2,55-12256D2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-12257-10J0,A6,55-12257A6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-12259-100,A5,55-12259A5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-12260-00F0,B2,55-12260B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-12265-01G0,B1,55-12265B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-12266-0080,B1,55-12266B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-12266-0090,B2,55-12266B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-12266-00B0,B2,55-12266B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-12266-320E,B2,55-12266B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-12266-321E,B2,55-12266B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-12266-3220,B2,55-12266B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-12274-0020,A1,55-12274A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-12274-0030,A1,55-12274A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-12275-0020,A1,55-12275A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-12276-0020,A1,55-12276A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-12276-0030,A1,55-12276A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-12276-2020,A1,55-12276A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-12277-004E,A3,55-12277A3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-12278-0010,A4,55-12278A4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-12278-0020,A4,55-12278A4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-12278-0030,A4,55-12278A4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-12278-0040,A4,55-12278A4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-12278-0050,A5,55-12278A5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-12278-0060,A5,55-12278A5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-12278-007E,A4,55-12278A4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-12278-008E,A4,55-12278A4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-12279-000E,A1,55-12279A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-12279-0010,A2,55-12279A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-12279-001E,A2,55-12279A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-12279-0020,A2,55-12279A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-12279-002E,A2,55-12279A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-12279-0030,A2,55-12279A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-12280-000E,A1,55-12280A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-12280-0010,A1,55-12280A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-12280-0020,A1,55-12280A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-12280-0020,A1,55-12280A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-12281-000E,A1,55-12281A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-12281-001E,A1,55-12281A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-12281-002E,A2,55-12281A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-12410-1010,B2,55-12410B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-12410-1020,B2,55-12410B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-12410-200E,B2,55-12410B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-12411-0010,A1,55-12411A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-12411-0030,A1,55-12411A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-12411-0040,A1,55-12411A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-12411-0060,A1,55-12411A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-12411-1010,B2,55-12411B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-12411-1020,B2,55-12411B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-12411-200E,B2,55-12411B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-12411-300E,A1,55-12411A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-12419-000E,A1,55-12419A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-12419-001E,A1,55-12419A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-12419-002E,A1,55-12419A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-12419-003E,A1,55-12419A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-12419-004E,A2,55-12419A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-12419-005E,A2,55-12419A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
